column,human_readable_label,units,definition,proxy_or_status,appears_in
closed_fraction,Closed-pore fraction of total pore volume,dimensionless/proxy,Closed-pore fraction of total pore volume,dimensionless/proxy,results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
closed_fraction_at_switch,Closed Fraction At Switch,dimensionless/proxy,Closed Fraction At Switch,dimensionless/proxy,results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
closed_fraction_at_target,Closed Fraction At Target,dimensionless/proxy,Closed Fraction At Target,dimensionless/proxy,results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
closed_fraction_final,Closed Fraction Final,dimensionless/proxy,Closed Fraction Final,dimensionless/proxy,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv
closed_pore_contribution_to_rho_dot,Closed Pore Contribution To Rho Dot,s^-1,Closed Pore Contribution To Rho Dot,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
closed_shrinkage_contribution,Closed Shrinkage Contribution,model-native or categorical; see definition/provenance,Closed Shrinkage Contribution,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
closed_shrinkage_flux,Closed Shrinkage Flux,s^-1,Closed Shrinkage Flux,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
closed_shrinkage_integral,Closed Shrinkage Integral,model-native or categorical; see definition/provenance,Closed Shrinkage Integral,measured/model-output/metadata,results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv
closed_shrinkage_share,Closed Shrinkage Share,dimensionless/proxy,Closed Shrinkage Share,dimensionless/proxy,results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
closed_store_positive_exact,Closed Store Positive Exact,model-native or categorical; see definition/provenance,Closed Store Positive Exact,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
column,Column,model-native or categorical; see definition/provenance,Column,measured/model-output/metadata,results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv
comparison_path,Comparison Path,model-native or categorical; see definition/provenance,Comparison Path,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv
complete,Complete,dimensionless/proxy,Complete,dimensionless/proxy,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv
complete_Chen_window,Complete Chen Window,dimensionless/proxy,Complete Chen Window,dimensionless/proxy,results/figure_source_data_package/candidate_693168/ablation_summary.csv
connected_fine,Connected Fine,model-native or categorical; see definition/provenance,Connected Fine,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv
connected_fine_pore_fraction,Connected Fine Pore Fraction,dimensionless/proxy,Connected Fine Pore Fraction,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
count,Count,count or model number-density proxy,Count,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv
count_evidence,Count Evidence,model-native or categorical; see definition/provenance,Count Evidence,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv
cumulative_PR_surface_energy_loss,Cumulative Pr Surface Energy Loss,model-native or categorical; see definition/provenance,Cumulative Pr Surface Energy Loss,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv
cumulative_densifying_work,Cumulative Densifying Work,model-native or categorical; see definition/provenance,Cumulative Densifying Work,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv
cumulative_non_densifying_work,Cumulative Non Densifying Work,model-native or categorical; see definition/provenance,Cumulative Non Densifying Work,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv
definition,Definition,model-native or categorical; see definition/provenance,Definition,measured/model-output/metadata,results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv;results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/units_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
density_range,Density Range,model-native or categorical; see definition/provenance,Density Range,measured/model-output/metadata,results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv
density_span_ge_1p5,Density Span Ge 1P5,dimensionless/proxy,Density Span Ge 1P5,dimensionless/proxy,results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv
density_window_label,Density Window Label,categorical/text,Density Window Label,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv
derivation_notes,Derivation Notes,categorical/text,Derivation Notes,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_chain_annotations.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv;results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv;results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/units_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
design_stage,Design Stage,categorical/text,Design Stage,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
destructive_ablations,Destructive Ablations,model-native or categorical; see definition/provenance,Destructive Ablations,measured/model-output/metadata,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
edge_label,Edge Label,categorical/text,Edge Label,measured/model-output/metadata,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv
evidence_level,Evidence Level,model-native or categorical; see definition/provenance,Evidence Level,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_chain_annotations.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv;results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv;results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/units_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
exact_behavior_class,Exact Behavior Class,model-native or categorical; see definition/provenance,Exact Behavior Class,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
exact_both_flag,Exact Both Flag,dimensionless/proxy,Exact Both Flag,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
exact_class,Exact Class,model-native or categorical; see definition/provenance,Exact Class,measured/model-output/metadata,results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
exact_fast_attained,Exact Fast Attained,dimensionless/proxy,Exact Fast Attained,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
exact_two_attained,Exact Two Attained,dimensionless/proxy,Exact Two Attained,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
expected_signature_if_model_correct,Expected Signature If Model Correct,categorical/text,Expected Signature If Model Correct,measured/model-output/metadata,results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv
f_exchange,F Exchange,model-native or categorical; see definition/provenance,F Exchange,measured/model-output/metadata,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv
f_nuc,F Nuc,model-native or categorical; see definition/provenance,F Nuc,measured/model-output/metadata,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv
f_transport,F Transport,model-native or categorical; see definition/provenance,F Transport,measured/model-output/metadata,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv
false_positive_reason,False Positive Reason,categorical/text,False Positive Reason,measured/model-output/metadata,results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv
falsification_signature,Falsification Signature,model-native or categorical; see definition/provenance,Falsification Signature,measured/model-output/metadata,results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv
fast_firing_pass_exact,Fast Firing Pass Exact,model-native or categorical; see definition/provenance,Fast Firing Pass Exact,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
fast_firing_preserved,Fast Firing Preserved,model-native or categorical; see definition/provenance,Fast Firing Preserved,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/ablation_summary.csv
fast_firing_retained,Fast Firing Retained,model-native or categorical; see definition/provenance,Fast Firing Retained,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv
fast_rate_C_min,Fast Rate C Min,degC min^-1,Fast Rate C Min,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv
figure_id,Figure Id,identifier,Figure Id,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_chain_annotations.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv;results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv;results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/units_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
figure_panel_group,Figure Panel Group,model-native or categorical; see definition/provenance,Figure Panel Group,measured/model-output/metadata,results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv
final_density,Final Density,dimensionless,Final Density,measured/model-output/metadata,results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv
final_grain_size_nm,Final Grain Size Nm,nm,Final Grain Size Nm,measured/model-output/metadata,results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv
final_interpretation_role,Final Interpretation Role,categorical/text,Final Interpretation Role,measured/model-output/metadata,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv
first_step_growth,First Step Growth,model-native or categorical; see definition/provenance,First Step Growth,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/extended_robustness.csv
first_step_growth_fraction,First Step Growth Fraction,dimensionless/proxy,First Step Growth Fraction,dimensionless/proxy,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
first_success_C,First Success C,degC,First Success C,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv
formula_or_source,Formula Or Source,categorical/text,Formula Or Source,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv
full_max_ratio,Full Max Ratio,dimensionless/proxy,Full Max Ratio,dimensionless/proxy,results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv
full_meaningful,Full Meaningful,model-native or categorical; see definition/provenance,Full Meaningful,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv
full_span_ge_1p5,Full Span Ge 1P5,dimensionless/proxy,Full Span Ge 1P5,dimensionless/proxy,results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv
growth_activation_number,Growth Activation Number,model-native or categorical; see definition/provenance,Growth Activation Number,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
growth_fraction,Growth Fraction,dimensionless/proxy,Growth Fraction,dimensionless/proxy,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
