attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,exact_reconfirmed,rho_high_final,rho_two_final,fingerprint
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,652105,True,0.8610296215942397,0.8610296215942397,5fe72cf8612eb734
True,0.27508480269900293,0.30630359546373065,0.32990958614498433,0.029999999999996696,0.01789999999999803,0.010948650547131166,Tier_B,,115,True,True,True,7373,True,0.9800047914446429,0.9800130488810712,2ab10cbaa0eeebe2
False,0.1905555706453972,0.6909202814776357,0.8287586454738187,0.01879999999999793,0.01389999999999847,0.020926267234983593,Tier_C,,0.0,True,False,False,97225,True,0.9711673969128158,0.9723813340138868,30642268413b6325
True,0.12644719037229513,0.20065246573336992,0.3155281060171279,0.015099999999998337,0.0013999999999998458,0.0070140780370421514,Tier_C,,30,True,True,True,812464,True,0.98,0.9800112993601013,e3cbffae612eef8f
True,0.12358778447188146,0.20196884652911518,0.3171975926788011,0.015299999999998315,0.0017999999999998018,0.007072120504725861,Tier_C,,255,True,False,False,366910,True,0.9819999999999999,0.9801162321813534,9639243204732aea
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,971648,True,0.7484035478857722,0.7484035478857722,f402c5f55ffa1daf
True,0.4368617872029422,0.5040854383450413,0.549457644667689,0.029999999999996696,0.029999999999996696,0.020866171033940402,Tier_B,,150,True,True,True,269855,True,0.9801804197238719,0.9803213622306072,bfa8d9c399f9dee8
True,0.236556734167231,0.3106058851941953,0.3861521750576926,0.029999999999996696,0.017099999999998117,0.01122517323872433,Tier_B,,115,True,True,True,209014,True,0.9802082787504428,0.9800875258050035,71bf048ff5d8d29a
True,0.4471283055563806,0.48432536190397224,0.5185694589315039,0.029999999999996696,0.029999999999996696,0.019822743078406965,Tier_B,,350,True,True,True,881907,True,0.9819533503537055,0.9813844545318438,027976a2f4d4e5f5
True,0.31843125456590604,0.36612791160143965,0.3946483870085884,0.029999999999996696,0.029999999999996696,0.013541808824766386,Tier_C,,280,True,False,False,326500,True,0.9800933609483365,0.9801773933137019,743c288f8e7b265e
True,0.47684366915010346,0.5322097306596838,0.5824353479605919,0.029999999999996696,0.029999999999996696,0.022796387249242885,Tier_B,,150,True,True,True,714329,True,0.9819999999999999,0.9802381094851995,4cd990607cc69db8
True,0.5331980708352488,0.6034124166277812,0.6700445986669803,0.029999999999996696,0.029999999999996696,0.027841984823170386,Tier_B,,65,True,True,True,412093,True,0.9800801721276396,0.9800227272288752,b753f97ac6a69b79
True,0.5425292499682749,0.6334899625264572,0.7053327560614381,0.029999999999996696,0.029999999999996696,0.030096770483652002,Tier_B,,150,True,True,True,111841,True,0.9801517125795634,0.9801747301187275,597d4b4247517024
True,0.14247447807419422,0.18470306907736467,0.2259990497497052,0.010199999999998877,0.0,0.006165953101364264,Tier_C,,240,True,False,False,159264,True,0.98,0.9812795430173652,5d281f2e315c23fd
True,0.07867046087915464,0.11502919047190474,0.147541925210379,0.0,0.0,0.0035830136698891367,Tier_C,,165,True,True,True,911396,True,0.9819999999999999,0.980090360162718,8ecf8f70a4ec643f
True,0.03417633059924241,0.05677984306612838,0.09357566369363568,0.0,0.0,0.0018326447640741102,Tier_C,,190,True,False,False,705386,True,0.98,0.9801753401314961,58b07da106091ade
True,0.508628221797989,0.5511374563040818,0.5846514526704117,0.029999999999996696,0.029999999999996696,0.023939656458393466,Tier_B,,110,True,True,True,871706,True,0.9811573291736887,0.9800882020706992,39a0619a84417330
True,0.5307722310031713,0.6046034052307472,0.6439144997467645,0.029999999999996696,0.029999999999996696,0.027437657895063146,Tier_B,,155,True,True,True,967900,True,0.9803813038196943,0.9800769729784263,f11b6e395d443780
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,609568,True,0.758860329010544,0.758860329010544,3b1f32af75b8cbdf
True,0.18902651636163725,0.19325262612177674,0.19467404678932232,0.0,0.0,0.006431431273434235,Tier_C,,180,True,False,False,548769,True,0.9811969935085723,0.9800042047108867,301bd697a1d176f2
True,0.3197049848123569,0.36891940109048504,0.4025237074834943,0.029999999999996696,0.029999999999996696,0.01373188687958163,Tier_B,,130,True,True,True,901508,True,0.9801695815620683,0.980154153179379,a151b430d50227b1
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,614979,True,0.7931084481734704,0.7931084481734704,ed0abcf4910a7cd7
True,0.356193357339052,0.4307437355010826,0.5126028049196125,0.029999999999996696,0.029999999999996696,0.01712218754046739,Tier_B,,50,True,True,True,750703,True,0.9805237778890667,0.9801191463612755,6d4e9e2fcbfa37dc
True,0.19169723948694617,0.19169749821004578,0.19169751198797025,0.0,0.0,0.006384566080446425,Tier_C,,280,True,False,False,985544,True,0.9804918235993624,0.9802448077843848,5b824e724aa04a47
False,0.5331302546246774,0.5433714667739444,0.5540872873569018,0.01279999999999859,0.01279999999999859,0.0100423097121509,Tier_C,,0.0,True,True,False,191715,True,0.9816584275918766,0.9628459506915988,88b42104b7c6d812
True,0.10814952809539247,0.13662532304886454,0.14953544964856502,0.0,0.0,0.004323245518990475,Tier_C,,155,True,True,True,394394,True,0.98,0.9806294958278119,c665f0217cbe113b
True,0.30813382827496827,0.3653335542820765,0.41633929023042204,0.029999999999996696,0.029999999999996696,0.013652278769385734,Tier_B,,275,True,True,True,347637,True,0.981470704072268,0.9801451562389343,6c01cd38e291827b
True,0.531740343260475,0.592544768264449,0.6545678099675585,0.029999999999996696,0.029999999999996696,0.027058743612518983,Tier_B,,240,True,True,True,463189,True,0.98,0.9815155260598342,8ed1a36b061dd637
True,0.39188409717621775,0.44947002149482784,0.497245028022524,0.029999999999996696,0.029999999999996696,0.017898704145027946,Tier_B,,75,True,True,True,653856,True,0.9800000001335568,0.9800686558034095,32727b14626f6449
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,762439,True,0.9806660823474874,0.8976620910003914,8240fcc6c8b9db95
True,0.19355428731491475,0.27557102705738357,0.4336436292705613,0.02849999999999686,0.011699999999998711,0.010290364585722751,Tier_B,,130,True,True,True,811732,True,0.9800338204997049,0.980041675402152,51d7d94e87407e3f
True,-2.5647126644656737e-08,2.407620480759931e-08,2.947481869686186e-08,0.0,0.0,5.742341137646583e-10,Tier_C,,180,True,False,False,599848,True,0.9800284926227265,0.9800362875575684,8d3fa81dda86c73b
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,False,False,851739,True,0.9801434667870599,0.8852057166332779,b34acf3cf50cb957
True,0.3671285760234547,0.475596029632685,0.6044517479132471,0.029999999999996696,0.029999999999996696,0.0198185045590935,Tier_B,,135,True,True,True,954086,True,0.9819999999999999,0.980338269622345,0c98ba02673db69c
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,False,False,603120,True,0.9801627881510802,0.9245358121240858,300bab5190b0545a
True,0.342919398950728,0.3763258361606231,0.4080372210147335,0.029999999999996696,0.029999999999996696,0.014174358949558676,Tier_B,,440,True,True,True,186484,True,0.9815049867718423,0.9802532595218253,e53a735e9cd706ff
True,2.850573141410795e-05,4.186349622703478e-05,5.741393096869718e-05,0.0,0.0,1.2839350202667869e-06,Tier_C,,200,True,False,False,894268,True,0.98,0.9806924348741043,095eaffe2371fb13
False,0.19243164336565288,0.2001328674786509,0.20884468362469777,0.0031999999999996476,0.0,0.0018766460814860267,Tier_C,,115,True,False,False,594611,True,0.9819262406756449,0.9584114799259759,c6646b66041623f1
True,0.2130932875921424,0.2833268683560861,0.40094622061020047,0.029999999999996696,0.011999999999998678,0.010357805631636696,Tier_B,,205,True,True,True,63472,True,0.98,0.9803275680209036,be428e3e2fcd6745
True,0.1879464154885414,0.23476227385415593,0.29296523677824793,0.025899999999997148,0.0,0.008121558232167866,Tier_C,,240,True,False,False,756848,True,0.98,0.9802869054714678,c6022b7216afff72
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,False,False,119824,True,0.9377877844960023,0.9010066701593384,2dce1b9697862344
True,0.45825463669890687,0.463120329467672,0.47717458276726044,0.029999999999996696,0.029999999999996696,0.018748812931533458,Tier_B,,225,True,True,True,353710,True,0.9804081475308375,0.9800985490210392,b9acec7a1637376c
False,0.12525747625870942,0.1445010134959991,0.1656689715698546,0.0,0.0,0.0031309495454860748,Tier_C,,0.0,True,True,False,679818,True,0.98,0.9699889485244819,924e79f2191ce948
True,0.46368712541625845,0.46783243583810286,0.5021909023212185,0.029999999999996696,0.029999999999996696,0.019219424992153837,Tier_C,,0.0,True,True,False,21600,True,0.9800666031424814,0.9800012301273966,4f09c8d4948afe98
True,0.06764367330984189,0.0921663131449838,0.12679226700682256,0.0,0.0,0.0029596263793178973,Tier_C,,180,True,True,True,512254,True,0.98,0.9803365299701849,05e28296716a0ad2
