case_id,mode,path,subpopulation,t_s,rho_i,G_i_nm,pore_D50_i_nm,pore_D90_i_nm,connected_fine_i,large_pore_i,rho_dot_i,G_dot_i_nm_s,PR_work_i,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore,f_defect_large_pore,stored_PR_work
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,532.7999999999881,0.7000000000095676,135.00000000000003,23.742376259165457,9.496950503666182e-08,0.29694638260609785,0.5148417643796738,1.0429950111374811e-12,2.6694445233191626e-16,1030.3797783644134,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,535.199999999988,0.7000000000122311,135.00000000000003,23.742397335318707,9.496958934127483e-08,0.2969455605269238,0.514843966302891,1.3268401158387676e-12,3.979800465797934e-16,1089.7701115047719,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,537.5999999999879,0.7000000000156185,135.00000000000003,23.74241922493787,9.496967689975148e-08,0.2969447067300905,0.5148462531716567,1.6864434684326018e-12,5.9158050911185015e-16,1151.4490039452307,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,539.9999999999877,0.700000000019923,135.00000000000003,23.742441921466472,9.49697676858659e-08,0.29694382147299964,0.514848624295188,2.1417822922894116e-12,8.767761427565863e-16,1215.3974351232796,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,542.3999999999876,0.7000000000253888,135.00000000000003,23.74246541370344,9.496986165481376e-08,0.29694290519436045,0.5148510784969675,2.718095549942547e-12,1.2956747148561744e-15,1281.583244698928,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,544.7999999999874,0.7000000000323241,135.00000000000003,23.742489685405545,9.496995874162217e-08,0.2969419585297013,0.5148536140731897,3.4472879210010425e-12,1.90917465892738e-15,1349.9600089950522,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,547.1999999999873,0.7000000000411184,135.00000000000003,23.74251471490001,9.497005885960004e-08,0.29694098232648786,0.5148562287522634,4.36971900256413e-12,2.805096032625636e-15,1420.465945836371,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,549.5999999999872,0.7000000000522648,135.00000000000003,23.742540474717217,9.497016189886886e-08,0.2969399776584559,0.5148589196564185,5.536487562834362e-12,4.109719137265338e-15,1493.0228759581546,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,551.999999999987,0.700000000066386,135.00000000000003,23.742566931255418,9.497026772502167e-08,0.29693894583869707,0.5148616832666547,7.01235321960778e-12,6.0041121662051366e-15,1567.5352745106816,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,554.3999999999869,0.7000000000842701,135.00000000000003,23.742594044491312,9.497037617796525e-08,0.29693788843095364,0.5148645153924823,8.879480346230202e-12,8.747170372067752e-15,1643.8894516479866,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,556.7999999999868,0.7000000001069151,135.00000000000003,23.74262176775216,9.497048707100864e-08,0.2969368072585161,0.5148674111480894,1.1242244335726454e-11,1.2708034413177403e-14,1721.952906443453,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,559.1999999999866,0.7000000001355854,135.00000000000009,23.742650047566848,9.497060019026739e-08,0.2969357044100404,0.5148703649367555,1.4233412467663288e-11,1.8411579784068995e-14,1801.5739029927888,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,561.5999999999865,0.7000000001718845,135.00000000000014,23.742678823614447,9.497071529445779e-08,0.2969345822415655,0.5148733704454431,1.802210552454869e-11,2.660207220995818e-14,1882.5813210045533,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,563.9999999999864,0.7000000002178479,135.0000000000002,23.74270802878935,9.497083211515741e-08,0.29693344337398114,0.5148764206515739,2.2824068391409126e-11,3.83320014946443e-14,1964.784834792619,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,566.3999999999862,0.7000000002760628,135.00000000000028,23.742737589402108,9.497095035760843e-08,0.296932290685213,0.5148795078439513,2.891493625853359e-11,5.508571921657281e-14,2047.9754736517227,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,568.7999999999861,0.7000000003498212,135.00000000000043,23.742767425532968,9.497106970213188e-08,0.2969311272964483,0.5148826236596461,3.664738793016819e-11,7.895105767911739e-14,2131.926612373329,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,571.199999999986,0.7000000004433171,135.00000000000065,23.742797451552942,9.497118980621176e-08,0.2969299565518369,0.514885759138349,4.6473341779495355e-11,1.1285692246468229e-13,2216.3954324614847,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,573.5999999999858,0.700000000561901,135.00000000000094,23.74282757682222,9.497131030728887e-08,0.2969287819912792,0.5148889047952356,5.897268855383453e-11,1.6090136289314846e-13,2301.1248819220364,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,575.9999999999857,0.7000000007124083,135.00000000000136,23.74285770656998,9.497143082627992e-08,0.29692760731615103,0.5148920507127435,7.489048704926454e-11,2.2880340582821033e-13,2385.84614410299,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,578.3999999999855,0.7000000009035818,135.00000000000193,23.742887742951766,9.497155097180706e-08,0.296926436348116,0.5148951866508527,9.518509521507432e-11,3.245237544932012e-13,2470.2816041641395,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,580.7999999999854,0.7000000011466199,135.0000000000028,23.742917586271528,9.497167034508611e-08,0.2969252729815292,0.5148983021745179,1.210903946576195e-10,4.591153107567237e-13,2554.1482760943722,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,583.1999999999853,0.700000001455881,135.00000000000404,23.74294713634577,9.497178854538308e-08,0.2969241211303223,0.5149013867958645,1.5419611619655342e-10,6.478857081334542e-13,2637.1616251244936,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,585.5999999999851,0.700000001849798,135.0000000000057,23.74297629397713,9.497190517590852e-08,0.2969229846706508,0.5149044301277155,1.9655131209406968e-10,9.119823940011627e-13,2719.039691846413,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,587.999999999985,0.7000000023520542,135.0000000000081,23.743004962495327,9.497201984998131e-08,0.29692186738094745,0.514907422044034,2.507972646651392e-10,1.280548575418348e-12,2799.5073977751995,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,590.3999999999849,0.7000000029931,135.00000000001145,23.743033049316114,9.497213219726446e-08,0.2969207728813246,0.5149103528420771,3.203375748787773e-10,1.7936485491999327e-12,2878.300890172901,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,592.7999999999847,0.7000000038121059,135.00000000001614,23.74306046746364,9.497224186985456e-08,0.2969197045744632,0.5149132134005213,4.095548152866901e-10,2.5062275224602717e-12,2955.1717693332903,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,595.1999999999846,0.7000000048594663,135.0000000000227,23.743087137000202,9.49723485480008e-08,0.29691866559018854,0.5149159953276533,5.240848906677107e-10,3.4934591157519154e-12,3029.8910364182275,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,597.5999999999844,0.7000000062000036,135.00000000003186,23.743112986309896,9.497245194523958e-08,0.29691765873584697,0.5149186910939555,6.711619862676826e-10,4.8579500218377935e-12,3102.252605751738,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,599.9999999999844,0.7000000079170465,135.00000000004454,23.74313795318871,9.497255181275485e-08,0.2969166864543458,0.514921294144071,8.600484478430038e-10,6.739424429771678e-12,3172.0762425341195,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,602.3999999999845,0.7000000101176015,135.00000000006216,23.74316198570429,9.497264794281716e-08,0.2969157507913353,0.5149237989841788,1.1025647258958654e-09,9.32771205640408e-12,3239.2098143075145,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,604.7999999999845,0.7000000129388595,135.00000000008652,23.743185042800967,9.497274017120387e-08,0.2969148533725015,0.5149262012421443,1.4137340185540622e-09,1.2880127460366679e-11,3303.5307800570295,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,607.1999999999846,0.7000000165563256,135.0000000001201,23.743207094641093,9.497282837856437e-08,0.2969139953913727,0.5149284976993528,1.8125535998371912e-09,1.7744673466700686e-11,3364.9468814784013,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,609.5999999999843,0.7000000211938804,135.00000000016638,23.743228122688432,9.497291249075374e-08,0.2969131776074446,0.5149306862947055,2.322898881734925e-09,2.4390952049995746e-11,3423.396043039474,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,611.9999999999844,0.7000000271360873,135.00000000022993,23.743248119553964,9.497299247821586e-08,0.29691240035388194,0.514932766102744,2.974555648270909e-09,3.345125280358976e-11,3478.8455273009145,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,614.3999999999845,0.7000000347430486,135.00000000031704,23.74326708863618,9.497306835454472e-08,0.296911663553582,0.5149347372891189,3.804359147306161e-09,4.577505166741424e-11,3531.2904262572347,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,616.7999999999844,0.7000000444680394,135.00000000043616,23.74328504359651,9.497314017438605e-08,0.2969109667420444,0.5149366010475536,4.85739461019887e-09,6.250114137640884e-11,3580.7515957493943,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,619.1999999999845,0.7000000568780285,135.00000000059873,23.7433020077152,9.49732080308608e-08,0.2969103090952997,0.5149383595229665,6.188181914995409e-09,8.515289440192011e-11,3627.273156875971,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,621.5999999999843,0.7000000726769836,135.00000000082005,23.743318013172726,9.49732720526909e-08,0.2969096894611144,0.5149400157255369,7.861728871605936e-09,1.157638106726598e-10,3670.91969549652,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,623.9999999999842,0.700000092731559,135.0000000011208,23.743333100298102,9.49733324011924e-08,0.2969091063918178,0.514941573440194,9.95429716913452e-09,1.5704262956519066e-10,3711.7732890811503,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,626.3999999999841,0.7000001180983645,135.00000000152858,23.74334731681689,9.497338926726757e-08,0.2969085581773477,0.5149430371353554,1.2553690401727932e-08,2.125900193464989e-10,3749.930480779581,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,628.7999999999839,0.7000001500515457,135.0000000020803,23.743360717121494,9.497344286848598e-08,0.29690804287747613,0.5149444118738383,1.575885696399298e-08,2.8718236225368496e-10,3785.499305589301,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,631.1999999999838,0.7000001901089112,135.00000000282512,23.74337336157324,9.497349344629297e-08,0.2969075583525874,0.5149457032277874,1.9678617142890518e-08,3.8714263674461637e-10,3818.596454981848,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,633.5999999999837,0.700000240054416,135.00000000382866,23.74338531583438,9.497354126333752e-08,0.29690710229280076,0.5149469171984112,2.442938802193606e-08,5.208241195598936e-10,3849.3446462853226,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,635.9999999999835,0.7000003019545663,135.000000005178,23.74339665021763,9.497358660087052e-08,0.2969066722455764,0.5149480601403866,3.013189975812062e-08,6.992399127634438e-10,3877.8702432187024,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,638.3999999999834,0.7000003781664004,135.00000000698859,23.74340743903568,9.497362975614272e-08,0.2969062656421787,0.514949138690176,3.690706614835052e-08,9.368805477098418e-10,3904.3011555350836,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,640.7999999999832,0.7000004713351946,135.0000000094132,23.74341775993311,9.497367103973243e-08,0.2969058798234257,0.5149501596972875,4.487136513356473e-08,1.2527736279054695e-09,3928.765029636869,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,643.1999999999831,0.7000005843810174,135.00000001265366,23.743427693189943,9.497371077275977e-08,0.2969055120650282,0.5149511301577556,5.413225574610012e-08,1.671854262127549e-09,3951.3877287571167,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,645.599999999983,0.7000007204745823,135.00000001697578,23.743437320997927,9.497374928399171e-08,0.2969051596025355,0.5149520571497523,6.478425270742375e-08,2.2267336649166003e-09,3972.2920910015946,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,647.9999999999828,0.7000008830043511,135.00000002272938,23.74344672672582,9.497378690690328e-08,0.29690481965552246,0.5149529477721109,7.690625401973151e-08,2.959976689713437e-09,3991.596946103383,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,650.3999999999827,0.7000010755381894,135.00000003037363,23.743455994203725,9.497382397681489e-08,0.29690448945028663,0.5149538090873849,9.056055664829528e-08,3.927028337139303e-09,4009.4163668704714,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,652.7999999999826,0.7000013017837703,135.00000004051003,23.7434652070666,9.49738608282664e-08,0.2969041662400717,0.5149546480716612,1.0579372930476855e-07,5.1999658104044325e-09,4025.8591286223987,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,655.1999999999824,0.7000015655521485,135.00000005392525,23.74347444819901,9.497389779279604e-08,0.29690384732177616,0.5149554715734728,1.2263920472884513e-07,6.8722981102481236e-09,4041.0283489920257,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,657.5999999999823,0.7000018707284205,135.00000007164576,23.743483799317293,9.497393519726917e-08,0.2969035300482559,0.5149562862837866,1.4112118621906744e-07,9.065091429132585e-09,4055.0212808970336,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,659.9999999999822,0.7000022212522989,135.00000009500855,23.743493340713563,9.497397336285425e-08,0.2969032118356728,0.514957098718277,1.6125929886188612e-07,1.1934768034254227e-08,4067.9292328824213,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,662.399999999982,0.7000026211100225,135.00000012575148,23.743503151169666,9.497401260467867e-08,0.29690289016575544,0.5149579152120823,1.830733825894097e-07,1.568301163767933e-08,4079.8375930725033,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,664.7999999999819,0.7000030743376096,135.00000016612913,23.743513308033556,9.497405323213423e-08,0.29690256258326503,0.5149587419262613,2.0658790827050106e-07,2.0569316591285674e-08,4090.82593537975,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,667.1999999999817,0.7000035850343085,135.00000021906027,23.74352388743805,9.49740955497522e-08,0.29690222668929656,0.5149595848643786,2.3183565681129523e-07,2.6926845225307313e-08,4100.968189188185,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,669.5999999999816,0.7000041573843432,135.00000028831616,23.74353496463386,9.497413985853543e-08,0.29690188013125285,0.5149604498971713,2.588604829861846e-07,3.5182411345422735e-08,4110.332856304305,0,0,0,0,0
L004,evolving_defect_memory_with_matrix_densification,fast,matrix_connected,671.9999999999815,0.7000047956847244,135.00000037875944,23.743546614405822,9.497418645762329e-08,0.2969015205903987,0.5149613427930841,2.877191474780462e-07,4.588159282350827e-08,4118.983261438505,0,0,0,0,0
