case_id,mode,path,subpopulation,t_s,rho_i,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore
L000,disabled_local_mixture,reference,matrix_connected,42480.00000003055,0.6500000000000017,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,42720.00000003077,0.6500000000000022,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,42960.00000003099,0.6500000000000032,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,43200.00000003121,0.6500000000000045,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,43440.000000031425,0.6500000000000061,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,43680.00000003164,0.6500000000000086,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,43920.00000003186,0.6500000000000117,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,44160.00000003208,0.6500000000000161,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,44400.0000000323,0.6500000000000221,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,44640.000000032516,0.6500000000000301,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,44880.000000032735,0.6500000000000411,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,45120.00000003295,0.6500000000000559,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,45360.00000003317,0.6500000000000756,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,45600.00000003339,0.6500000000001024,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,45840.00000003361,0.6500000000001381,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,46080.000000033826,0.650000000000186,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,46320.000000034044,0.6500000000002499,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,46560.00000003426,0.650000000000335,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,46800.00000003448,0.6500000000004482,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,47040.0000000347,0.6500000000005983,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,47280.00000003492,0.650000000000797,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,47520.000000035136,0.6500000000010595,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,47760.000000035354,0.6500000000014056,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,48000.00000003557,0.6500000000018609,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,48240.00000003579,0.650000000002459,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,48480.00000003601,0.6500000000032431,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,48720.00000003623,0.6500000000042688,0,0,0
