model_style,G0_nm,rho0,heating_rate_C_min,t_h,T_C,rho,G_nm,rho_dot,dGdt_nm_s,connected_coverage,activity,E_G
density,150.0,0.7,20.0,2.3766609588375247,1450.0,0.8697563955521261,253.84139173014285,8.222289807901591e-06,0.026963990449354214,0.22127399578758133,0.8795584253709615,0.07740536371894079
density,150.0,0.7,20.0,2.483477608971278,1450.0,0.8727310934176333,264.1483701383675,6.993180716085643e-06,0.0265113627318227,0.21099560269828344,0.8800961077731596,0.06967719113207892
density,150.0,0.7,20.0,2.596755154276268,1450.0,0.875421300851568,274.87385320094944,5.990818080464132e-06,0.025935050578988084,0.201981434947749,0.8808169631592478,0.0634939671541347
density,150.0,0.7,20.0,2.7174490847508452,1450.0,0.8778824685303828,286.0348338850593,5.164109662148525e-06,0.025266310851352506,0.1939923873791389,0.8816823570579403,0.05846184898409151
density,150.0,0.7,20.0,2.8465430361634145,1450.0,0.8801561811897252,297.6489951404766,4.475300545303911e-06,0.024530210241726167,0.18684366398563804,0.882662247467993,0.05430319174335783
density,150.0,0.7,20.0,2.985067650385083,1450.0,0.8822741885415565,309.73473791565044,3.896167759449955e-06,0.02374669734202613,0.18039118661312412,0.8837329550940167,0.05081879313435816
density,150.0,0.7,20.0,3.13411739522264,1450.0,0.884261140941806,322.31121031132494,3.4053435705911685e-06,0.022931592065285118,0.174521470713403,0.8848755515587747,0.0478632449346897
density,150.0,0.7,20.0,3.2948662368219135,1450.0,0.8861364761692049,335.39833791791807,2.9864376145895224e-06,0.02209742301740889,0.16914416635597967,0.8860746993818087,0.045328643590691844
density,150.0,0.7,20.0,3.468582863136201,1450.0,0.8879157423917214,349.01685538472066,2.626714146478563e-06,0.02125410726735094,0.16418656924304456,0.8873178154976827,0.043133663525203994
density,150.0,0.7,20.0,3.656646007255009,1450.0,0.8896115408853358,363.1883392709304,2.31615319936286e-06,0.02040949059384178,0.1595895653931165,0.8885944639554123,0.04121611120600272
density,150.0,0.7,20.0,3.856076760724143,1450.0,0.8912001253164809,377.61591847433135,2.05221666920964e-06,0.019587327140814945,0.1553944281716035,0.8898683581887943,0.03956383006628483
density,150.0,0.7,20.0,4.056076760724143,1450.0,0.8926173531146019,391.5112402339406,1.8375875446191422e-06,0.01883244463172432,0.15174144920825355,0.891065970766245,0.03820195374000203
density,150.0,0.7,20.0,4.256076760724143,1450.0,0.8938907722069537,404.88044121538286,1.6605146831661131e-06,0.018140576135045033,0.14852832024030005,0.8921879791861917,0.037061111651581435
density,150.0,0.7,20.0,4.456076760724143,1450.0,0.8950448818984029,417.76708502940727,1.5122196243620233e-06,0.01750510571581271,0.14567050701285522,0.8932398028728439,0.03608978972479499
density,150.0,0.7,20.0,4.656076760724143,1450.0,0.8960985922754214,430.2100917466903,1.3864186414977258e-06,0.016919910689768648,0.14310461412036032,0.8942270723426785,0.0352514444014606
density,150.0,0.7,20.0,4.856076760724143,1450.0,0.8970667776117965,442.2441399579903,1.2785039179991751e-06,0.01637949791215582,0.14078206814680416,0.8951552364164594,0.034519425972688346
density,150.0,0.7,20.0,5.056076760724143,1450.0,0.8979613302963839,453.9001275568358,1.1850252672849895e-06,0.015879014965927776,0.1386649543551012,0.8960293839832898,0.03387383418511079
density,150.0,0.7,20.0,5.306076760724143,1450.0,0.89899049845704,467.9801807699746,1.0845284024141899e-06,0.015303133596941148,0.1362622079997285,0.8970531684296297,0.03316561242812472
density,150.0,0.7,20.0,5.506076760724143,1450.0,0.8997520530350699,478.88192615092447,1.0147979829632532e-06,0.0148777487421591,0.13450614625939974,0.8978221614370725,0.03266410941316856
density,150.0,0.7,20.0,5.706076760724143,1450.0,0.900465588068628,489.48510962315856,9.528851189482474e-07,0.014480327620741007,0.13287714249681687,0.8985507239760996,0.032210809666942536
density,150.0,0.7,20.0,5.906076760724143,1450.0,0.9011363913037556,499.80910286959613,8.975822909295262e-07,0.014108123255837995,0.13135967405340485,0.8992421867101924,0.03179868728432627
density,150.0,0.7,20.0,6.106076760724143,1450.0,0.9017689472606758,509.8713941276493,8.479143737680681e-07,0.013758727639125319,0.12994078315904947,0.8998995391977711,0.03142203953689731
density,150.0,0.7,20.0,6.306076760724143,1450.0,0.9023670894082608,519.6878190883745,8.03085886791942e-07,0.01343002443736139,0.1286095556579336,0.9005254658202464,0.031076187165118476
density,150.0,0.7,20.0,6.506076760724143,1450.0,0.9029341183072966,529.2727595697478,7.62441884823549e-07,0.013120148336283445,0.1273567234875161,0.901122379476644,0.03075725289447684
density,150.0,0.7,20.0,6.706076760724143,1450.0,0.9034728943994074,538.6393145660448,7.254385657858761e-07,0.01282745033197208,0.1261743576865013,0.901692452287186,0.030461995308665942
density,150.0,0.7,20.0,6.906076760724143,1450.0,0.9039859116556477,547.799447747889,6.916209050459114e-07,0.012550468198255076,0.12505562857252925,0.902237643099528,0.030187682550976116
density,150.0,0.7,20.0,7.106076760724143,1450.0,0.9044753566007625,556.7641149353624,6.606054420232664e-07,0.012287901385180022,0.12399461640779653,0.902759721878633,0.02993199511620099
density,150.0,0.7,20.0,7.306076760724143,1450.0,0.9049431560394628,565.5433745481665,6.320668928661755e-07,0.012038589675513542,0.1229861604679228,0.9032602912005974,0.029692950184919624
density,150.0,0.7,20.0,7.506076760724143,1450.0,0.9053910159652235,574.1464835752261,6.057276377551951e-07,0.011801495012374277,0.12202573764376316,0.9037408051279026,0.029468842113377837
density,150.0,0.7,20.0,7.706076760724143,1450.0,0.9058204535225072,582.5819812069046,5.813493914395465e-07,0.011575685996479644,0.12110936398584228,0.9042025857560797,0.029258195180940343
density,150.0,0.7,20.0,7.906076760724143,1450.0,0.9062328234484565,590.8577619334817,5.587265485819341e-07,0.011360324629488328,0.12023351423976306,0.9046468377109615,0.029059725738031957
density,150.0,0.7,20.0,8.106076760724143,1450.0,0.9066293400916745,598.9811396276136,5.376808258970185e-07,0.011154654948225198,0.11939505561322783,0.9050746608537916,0.028872311635507412
density,150.0,0.7,20.0,8.306076760724142,1450.0,0.9070110958606374,606.9589038890522,5.180569171333925e-07,0.01095799325295531,0.11859119289269805,0.9054870614251438,0.028694967346381873
density,150.0,0.7,20.0,8.506076760724143,1450.0,0.9073790767695523,614.7973697299451,4.997189455591624e-07,0.010769719682050193,0.11781942268031605,0.9058849618317283,0.028526823576109018
density,150.0,0.7,20.0,8.706076760724143,1450.0,0.9077341756089392,622.5024215122378,4.825475491761666e-07,0.010589270926460451,0.1170774950118559,0.9062692092545174,0.02836711044065865
density,150.0,0.7,20.0,8.906076760724144,1450.0,0.9080772031603507,630.0795519095288,4.664374715195867e-07,0.010416133911535093,0.11636338098809332,0.9066405832332186,0.028215143501890902
density,150.0,0.7,20.0,9.156076760724144,1450.0,0.9084901309918253,639.3788678038605,4.476514546064713e-07,0.01020928516435306,0.1155070719816023,0.9070877868412516,0.028035153843719088
density,300.0,0.7,0.2,0.0,25.0,0.7,300.00000000000006,5.3278582512412154e-120,5.689320988680578e-114,0.8228357951658556,2.9155425948107344e-16,5.327858251241215e-90
density,300.0,0.7,0.2,0.5,31.0,0.6999999999999998,300.00000000000006,4.4290109421311986e-117,3.2272328793627955e-111,0.822835794667423,5.254345294128479e-16,4.429010942131198e-87
density,300.0,0.7,0.2,1.0,37.0,0.6999999999999997,300.00000000000006,2.8214537524807257e-114,1.423753187566678e-108,0.8228357940682312,9.256020379378286e-16,2.8214537524807252e-84
density,300.0,0.7,0.2,1.5,43.0,0.6999999999999997,300.00000000000006,1.3984910184440343e-111,4.95583210075371e-106,0.8228357933487117,1.5958869368288935e-15,1.3984910184440342e-81
density,300.0,0.7,0.2,2.0,49.0,0.6999999999999997,300.00000000000006,5.469947195685463e-109,1.3792843468935215e-103,0.8228357924856604,2.6963541453216543e-15,5.469947195685463e-79
density,300.0,0.7,0.2,2.5,55.0,0.6999999999999997,300.00000000000006,1.7104568349223245e-106,3.107432629016143e-101,0.8228357914515944,4.469276596227596e-15,1.7104568349223243e-76
density,300.0,0.7,0.2,3.05,61.6,0.6999999999999997,300.00000000000006,7.443255674883199e-104,9.557179388563648e-99,0.822835790077627,7.63104587212043e-15,7.4432556748832e-74
density,300.0,0.7,0.2,3.55,67.6,0.6999999999999997,300.00000000000006,1.511708877376882e-101,1.4324593870737962e-96,0.8228357885715327,1.2190903218405133e-14,1.5117088773768819e-71
density,300.0,0.7,0.2,4.05,73.6,0.6999999999999997,300.00000000000006,2.541674788878104e-99,1.7961794303614453e-94,0.8228357867732082,1.9164678451069556e-14,2.541674788878104e-69
density,300.0,0.7,0.2,4.55,79.6,0.7,300.00000000000006,3.5721526181129936e-97,1.9015638549893225e-92,0.8228357846283361,2.967319325445059e-14,3.5721526181129936e-67
density,300.0,0.7,0.2,5.05,85.6,0.7,300.00000000000006,4.23475314701647e-95,1.7142682710664531e-90,0.822835782072975,4.528903775172356e-14,4.2347531470164695e-65
density,300.0,0.7,0.2,5.55,91.60000000000001,0.7,300.00000000000006,4.270567063970065e-93,1.3265451436643406e-88,0.8228357790319456,6.819426478283682e-14,4.2705670639700645e-63
density,300.0,0.7,0.2,6.1,98.2,0.7,300.00000000000006,5.721003381487517e-91,1.3411904837611865e-86,0.8228357750200529,1.0541909627376362e-13,5.721003381487517e-61
density,300.0,0.7,0.2,6.6,104.2,0.6999999999999998,300.00000000000006,4.212502936142306e-89,7.711984435640996e-85,0.822835770653451,1.5470476062440316e-13,4.212502936142305e-59
density,300.0,0.7,0.2,7.1,110.2,0.7,300.00000000000006,2.699729619832657e-87,3.889748670289868e-83,0.8228357654748054,2.2456363344523658e-13,2.699729619832657e-57
density,300.0,0.7,0.2,7.6,116.2,0.7000000000000002,300.00000000000006,1.5157299924578147e-85,1.7314568873433585e-81,0.8228357593399223,3.227146001149923e-13,1.5157299924578145e-55
density,300.0,0.7,0.2,8.1,122.2,0.7000000000000001,300.00000000000006,7.500390232850054e-84,6.84117381438226e-80,0.8228357520803032,4.595808880885206e-13,7.500390232850053e-54
density,300.0,0.7,0.2,8.65,128.8,0.7,300.00000000000006,4.770997463691002e-82,3.423895334765385e-78,0.8228357425599864,6.718341397849044e-13,4.770997463691002e-52
density,300.0,0.7,0.2,9.15,134.8,0.7000000000000001,300.00000000000006,1.8442085665254885e-80,1.0714922263958515e-76,0.8228357322592281,9.420779903241962e-13,1.8442085665254883e-50
density,300.0,0.7,0.2,9.65,140.8,0.7,300.00000000000006,6.388510584737282e-79,3.0235649738361983e-75,0.822835720111894,1.3138720148211485e-12,6.388510584737282e-49
density,300.0,0.7,0.2,10.15,146.8,0.6999999999999998,300.00000000000006,1.9926881874230462e-77,7.727882914090943e-74,0.8228357058028614,1.825057670616254e-12,1.9926881874230461e-47
density,300.0,0.7,0.2,10.65,152.8,0.7,300.00000000000006,5.62178818420631e-76,1.79660416190429e-72,0.8228356889661578,2.5288497725236223e-12,5.621788184206309e-46
density,300.0,0.7,0.2,11.15,158.8,0.7,300.00000000000006,1.4405959612625712e-74,3.814456962558558e-71,0.8228356691772721,3.501015659329602e-12,1.440595961262571e-44
density,300.0,0.7,0.2,11.7,165.4,0.7000000000000002,300.00000000000006,4.590975637813584e-73,9.943720203640812e-70,0.8228356434104985,5.011980909779653e-12,4.590975637813584e-43
density,300.0,0.7,0.2,12.2,171.4,0.7000000000000002,300.00000000000006,9.736471141140325e-72,1.7660676115917413e-68,0.822835615728608,6.9627973598222135e-12,9.736471141140324e-42
density,300.0,0.7,0.2,12.7,177.4,0.7000000000000002,300.00000000000006,1.89764860639915e-70,2.896452934023131e-67,0.8228355833047835,9.710951118815043e-12,1.8976486063991496e-40
density,300.0,0.7,0.2,13.2,183.4,0.7000000000000002,300.00000000000006,3.410459558939332e-69,4.4006196604494973e-66,0.822835545368898,1.3612316683745581e-11,3.410459558939332e-39
density,300.0,0.7,0.2,13.7,189.4,0.7000000000000002,300.00000000000006,5.6699881278190036e-68,6.212484831385799e-65,0.8228355010331854,1.9191913680385564e-11,5.669988127819003e-38
density,300.0,0.7,0.2,14.2,195.4,0.7000000000000003,300.00000000000006,8.746647352711554e-67,8.172783403823188e-64,0.8228354492755238,2.722394110416626e-11,8.746647352711553e-37
density,300.0,0.7,0.2,14.75,202.0,0.7000000000000004,300.00000000000006,1.6325629118061853e-65,1.2864771030592586e-62,0.822835382361861,4.0265658928809924e-11,1.6325629118061852e-35
density,300.0,0.7,0.2,15.25,208.0,0.7000000000000004,300.00000000000006,2.171989735590034e-64,1.4721081333848057e-61,0.8228353109832552,5.779355819168327e-11,2.171989735590034e-34
density,300.0,0.7,0.2,15.75,214.0,0.7000000000000003,300.00000000000006,2.7040604954323895e-63,1.5824177375072746e-60,0.8228352279421327,8.33101319919117e-11,2.7040604954323893e-33
density,300.0,0.7,0.2,16.25,220.0,0.7000000000000004,300.00000000000006,3.1580261058954223e-62,1.601629491820241e-59,0.8228351314402378,1.2046991885820032e-10,3.158026105895422e-32
density,300.0,0.7,0.2,16.75,226.0,0.7000000000000006,300.00000000000006,3.467960556402109e-61,1.5297830922114104e-58,0.8228350194201406,1.745273253349171e-10,3.467960556402109e-31
density,300.0,0.7,0.2,17.3,232.60000000000002,0.7000000000000006,300.00000000000006,4.5192784561368855e-60,1.7168350786573744e-57,0.8228348754588509,2.625461754330785e-10,4.519278456136885e-30
density,300.0,0.7,0.2,17.8,238.60000000000002,0.7000000000000006,300.00000000000006,4.392127583036309e-59,1.46178307424874e-56,0.8228347228001598,3.802657387031039e-10,4.392127583036309e-29
density,300.0,0.7,0.2,18.3,244.60000000000002,0.7000000000000006,300.00000000000006,4.040191844541807e-58,1.181914661646403e-55,0.8228345462021547,5.497377475479736e-10,4.040191844541807e-28
density,300.0,0.7,0.2,18.8,250.60000000000002,0.7000000000000004,300.00000000000006,3.524418493628685e-57,9.091499275964853e-55,0.8228343421376292,7.925053178305354e-10,3.5244184936286844e-27
density,300.0,0.7,0.2,19.3,256.6,0.7000000000000004,300.00000000000006,2.9209943510522877e-56,6.664888178901705e-54,0.822834106596534,1.1383769160279857e-09,2.9209943510522877e-26
density,300.0,0.7,0.2,19.8,262.6,0.7000000000000003,300.00000000000006,2.304067709601495e-55,4.664298942640615e-53,0.8228338350255806,1.6282884336576372e-09,2.304067709601495e-25
density,300.0,0.7,0.2,20.35,269.20000000000005,0.7000000000000002,300.00000000000006,2.1145511957330807e-54,3.765479540732735e-52,0.8228334885002347,2.400715189278848e-09,2.1145511957330805e-24
density,300.0,0.7,0.2,20.85,275.20000000000005,0.7000000000000003,300.00000000000006,1.5115218857080403e-53,2.402707318966998e-51,0.8228331236391825,3.3984573622342397e-09,1.51152188570804e-23
density,300.0,0.7,0.2,21.35,281.2,0.7000000000000003,300.00000000000006,1.0334560011170151e-52,1.4705534427649844e-50,0.8228327044132059,4.784906353215778e-09,1.0334560011170151e-22
density,300.0,0.7,0.2,21.85,287.2,0.7000000000000002,300.00000000000006,6.768414517208503e-52,8.645072635259916e-50,0.822832223256788,6.699397973926969e-09,6.768414517208503e-22
density,300.0,0.7,0.2,22.35,293.20000000000005,0.7000000000000002,300.00000000000006,4.2521487269534727e-51,4.888184071074192e-49,0.8228316716345214,9.326503059656555e-09,4.252148726953473e-21
density,300.0,0.7,0.2,22.85,299.20000000000005,0.7,300.00000000000006,2.565902100081155e-50,2.6618075479385684e-48,0.8228310399289759,1.2909118833021214e-08,2.5659021000811548e-20
density,300.0,0.7,0.2,23.4,305.8,0.6999999999999997,300.00000000000006,1.7717442055581702e-49,1.6465087673546123e-47,0.8228302396003819,1.833541389794581e-08,1.77174420555817e-19
density,300.0,0.7,0.2,23.9,311.8,0.6999999999999997,300.00000000000006,9.865005989718877e-49,8.317222449937365e-47,0.8228294028867522,2.5072789204090568e-08,9.865005989718876e-19
density,300.0,0.7,0.2,24.4,317.8,0.6999999999999997,300.00000000000006,5.2962018381930576e-48,4.061027391353274e-46,0.82282844799624,3.4090454360792084e-08,5.2962018381930575e-18
density,300.0,0.7,0.2,24.9,323.8,0.6999999999999997,300.00000000000006,2.744697160574152e-47,1.9187096358379697e-45,0.8228273594480972,4.609042460234641e-08,2.7446971605741516e-17
density,300.0,0.7,0.2,25.4,329.8,0.6999999999999997,300.00000000000006,1.3745463325416826e-46,8.78116455896701e-45,0.8228261199124779,6.196872907621154e-08,1.3745463325416826e-16
density,300.0,0.7,0.2,25.95,336.40000000000003,0.6999999999999997,300.00000000000006,7.783282063111718e-46,4.51538675700428e-44,0.8228245588427661,8.52804086511502e-08,7.783282063111715e-16
density,300.0,0.7,0.2,26.45,342.40000000000003,0.6999999999999997,300.00000000000006,3.639712013310693e-45,1.9390674011850407e-43,0.82282293646641,1.13364054450368e-07,3.6397120133106904e-15
density,300.0,0.7,0.2,26.95,348.40000000000003,0.7,300.00000000000006,1.6498946207980838e-44,8.090173858923665e-43,0.8228210954126951,1.499073732658923e-07,1.6498946207980795e-14
density,300.0,0.7,0.2,27.45,354.40000000000003,0.6999999999999997,300.00000000000006,7.256578220758373e-44,3.282280975645284e-42,0.8228190085277941,1.9721544720552862e-07,7.256578220758293e-14
density,300.0,0.7,0.2,27.95,360.40000000000003,0.6999999999999997,300.00000000000006,3.0994197746529444e-43,1.296038313211387e-41,0.8228166456150686,2.5815397848589256e-07,3.09941977465281e-13
density,300.0,0.7,0.2,28.45,366.40000000000003,0.6999999999999998,300.00000000000006,1.2866891135654965e-42,4.984725566460356e-41,0.8228139731381114,3.3626888076629704e-07,1.2866891135652825e-12
density,300.0,0.7,0.2,29.0,373.0,0.6999999999999997,300.00000000000006,5.96544366386231e-42,2.130042169812575e-40,0.8228106313551174,4.47275120048141e-07,5.965443663858074e-12
density,300.0,0.7,0.2,29.5,379.0,0.6999999999999997,300.00000000000006,2.3390505122290055e-41,7.772049802944264e-40,0.8228071829274084,5.768616908886477e-07,2.3390505122229458e-11
density,300.0,0.7,0.2,30.0,385.0,0.6999999999999997,300.00000000000006,8.936118773757478e-41,2.7687780628134898e-39,0.822803296146107,7.406142343722381e-07,8.936118773675003e-11
density,300.0,0.7,0.2,30.5,391.0,0.6999999999999998,300.00000000000006,3.32881654049077e-40,9.637206915751074e-39,0.8227989201598204,9.466380800214784e-07,3.3288165403838343e-10
density,300.0,0.7,0.2,31.0,397.0,0.6999999999999997,300.00000000000006,1.2099574168182503e-39,3.2795827658149015e-38,0.8227939988739348,1.204743787679447e-06,1.2099574166859783e-09
density,300.0,0.7,0.2,31.5,403.0,0.6999999999999998,300.00000000000006,4.2942408764803614e-39,1.0918761448682586e-37,0.8227884704931432,1.5267589452351952e-06,4.294240874917435e-09
density,300.0,0.7,0.2,32.05,409.6,0.6999999999999998,300.00000000000006,1.684168389011659e-38,4.000382359426664e-37,0.8227816067442288,1.971824894716328e-06,1.6841683867658866e-08
density,300.0,0.7,0.2,32.55,415.6,0.6999999999999997,300.00000000000006,5.697152604484285e-38,1.2745439908162714e-36,0.8227745741578416,2.477629941041342e-06,5.6971525802800456e-08
density,300.0,0.7,0.2,33.05,421.6,0.6999999999999997,300.00000000000006,1.8854806537208036e-37,3.9802291883065486e-36,0.8227667012418841,3.1010299883921305e-06,1.88548062870532e-07
density,300.0,0.7,0.2,33.55,427.6,0.6999999999999997,300.00000000000006,6.108506402025509e-37,1.2190004791588748e-35,0.8227578973960606,3.866504951061342e-06,6.108506153816445e-07
density,300.0,0.7,0.2,34.05,433.6,0.6999999999999997,300.00000000000006,1.9384064568942657e-36,3.663329380176043e-35,0.8227480635053424,4.8030239064878255e-06,1.9384062201935835e-06
density,300.0,0.7,0.2,34.6,440.20000000000005,0.6999999999999995,300.00000000000006,6.745171314214907e-36,1.2031103597776445e-34,0.8227359270021181,6.071702673894463e-06,6.7451686091541636e-06
density,300.0,0.7,0.2,35.1,446.20000000000005,0.6999999999999997,300.00000000000006,2.0528974266662694e-35,3.480416182109743e-34,0.8227235657943341,7.485811648144875e-06,2.0528950450232244e-05
density,300.0,0.7,0.2,35.6,452.20000000000005,0.7,300.00000000000006,6.129939354596543e-35,9.894758797427382e-34,0.8227098059711647,9.197486705022662e-06,6.129919136572775e-05
density,300.0,0.7,0.2,36.1,458.20000000000005,0.6999999999999997,300.00000000000006,1.7967013042580104e-34,2.765849416926005e-33,0.8226945063662657,1.1262562301730833e-05,0.00017966847397265443
density,300.0,0.7,0.2,36.6,464.20000000000005,0.7,300.00000000000006,5.171725618813328e-34,7.604924867511094e-33,0.8226775136512412,1.374604716253187e-05,0.0005171594520187424
density,300.0,0.7,0.2,37.1,470.20000000000005,0.6999999999999997,300.00000000000006,1.4626396576669657e-33,2.057743845552212e-32,0.8226586615273171,1.672340916877576e-05,0.0014625393399561098
density,300.0,0.7,0.2,37.65,476.8,0.6999999999999997,300.00000000000006,4.499646496001839e-33,6.040626699444404e-32,0.822635561185632,2.0673590955627197e-05,0.004498740655571242
density,300.0,0.7,0.2,38.15,482.8,0.6999999999999997,300.00000000000006,1.228087868450916e-32,1.5824164877915274e-31,0.8226122005302043,2.4988588277311428e-05,0.012274404277940082
density,300.0,0.7,0.2,38.65,488.8,0.6999999999999998,300.00000000000006,3.2976936608621887e-32,4.084401291407667e-31,0.8225863733440364,3.011426412425301e-05,0.03293210063716482
density,300.0,0.7,0.2,39.15,494.8,0.6999999999999997,300.00000000000006,8.715624869523009e-32,1.0391218532463522e-30,0.8225578511544099,3.6185727008103905e-05,0.08685540419997428
density,300.0,0.7,0.2,39.65,500.8,0.6999999999999996,300.00000000000006,2.2681207081165228e-31,2.606700887941504e-30,0.8225263880222926,4.3357650607669436e-05,0.22485827658090413
density,300.0,0.7,0.2,40.15,506.8,0.6999999999999995,300.00000000000006,5.814066837468972e-31,6.44990788059889e-30,0.8224917196099482,5.1806657400410223e-05,0.5691697097589883
density,300.0,0.7,0.2,40.7,513.4000000000001,0.6999999999999997,300.00000000000006,1.6098987284964743e-30,1.7204795371771977e-29,0.8224495430908395,6.281651258185208e-05,1.5225798146679648
density,300.0,0.7,0.2,41.2,519.4000000000001,0.6999999999999997,300.00000000000006,4.0028581432307285e-30,4.140569902053926e-29,0.8224071959955356,7.463507297767947e-05,3.517391321862421
density,300.0,0.7,0.2,41.7,525.4000000000001,0.6999999999999997,300.00000000000006,9.81462945430983e-30,9.838875795183165e-29,0.8223606971022739,8.844738521187365e-05,7.390742779566457
density,300.0,0.7,0.2,42.2,531.4000000000001,0.6999999999999997,300.00000000000006,2.3738701704604998e-29,2.309071835050997e-28,0.822309696838997,0.00010455013561928102,13.41404059437273
density,300.0,0.7,0.2,42.7,537.4,0.6999999999999996,300.00000000000006,5.665814247994453e-29,5.353819965229894e-28,0.8222538224988503,0.00012327803012026663,20.346910532821852
density,300.0,0.7,0.2,43.25,544.0,0.6999999999999997,300.00000000000006,1.4532507657424808e-28,1.3319212856580265e-27,0.8221862569457218,0.00014736177616073102,26.71545702321969
density,300.0,0.7,0.2,43.75,550.0,0.6999999999999996,300.00000000000006,3.376446270993357e-28,3.0133224022465543e-27,0.8221188260427196,0.00017288434988186658,30.57154596881972
density,300.0,0.7,0.2,44.25,556.0,0.6999999999999996,300.00000000000006,7.748522455032502e-28,6.74091542434786e-27,0.822045209399349,0.0002023567056812418,33.01497882606728
density,300.0,0.7,0.2,44.75,562.0,0.6999999999999996,300.00000000000006,1.7568900583154427e-27,1.4914585369066992e-26,0.8219649307404681,0.0002363152036921602,34.64222025834638
density,300.0,0.7,0.2,45.25,568.0,0.6999999999999995,300.00000000000006,3.936952769500173e-27,3.2646158628251953e-26,0.8218774866734304,0.00027535836830010587,35.84896934956323
density,300.0,0.7,0.2,45.75,574.0,0.6999999999999996,300.00000000000006,8.721387845662449e-27,7.071117906974691e-26,0.8217823461046363,0.00032015274318179945,36.8451332307678
density,300.0,0.7,0.2,46.3,580.6,0.6999999999999995,300.00000000000006,2.0650415568848762e-26,1.6351617339906448e-25,0.8216681336612465,0.00037695574696290765,37.81753988089438
density,300.0,0.7,0.2,46.8,586.6,0.6999999999999995,300.00000000000006,4.4694096249377357e-26,3.4670822809552118e-25,0.8215549758493759,0.0004363358354109917,38.63951281040609
density,300.0,0.7,0.2,47.3,592.6,0.6999999999999995,300.00000000000006,9.57044612978152e-26,7.279721129354708e-25,0.8214322944194175,0.0005040355977821681,39.423915703179695
density,300.0,0.7,0.2,47.8,598.6,0.6999999999999995,300.00000000000006,2.0280645586051396e-25,1.51393689587469e-24,0.8212994407921473,0.0005810703430683282,40.17993282551024
density,300.0,0.7,0.2,48.3,604.6,0.6999999999999995,300.00000000000006,4.254053606499472e-25,3.1191486735390536e-24,0.8211557374403885,0.0006685596905579392,40.911590973604916
density,300.0,0.7,0.2,48.8,610.6,0.6999999999999995,300.00000000000006,8.834804749414404e-25,6.367810755364627e-24,0.8210004780864204,0.0007677360012487282,41.620529645963444
density,300.0,0.7,0.2,49.35,617.2,0.6999999999999995,300.00000000000006,1.9518658174096607e-24,1.381830128349309e-23,0.8208154679764316,0.0008919482055835019,42.37474786412531
density,300.0,0.7,0.2,49.85,623.2,0.6999999999999993,300.00000000000006,3.972596181957119e-24,2.769156744099174e-23,0.8206335165779419,0.001020230851822549,43.037142840824394
density,300.0,0.7,0.2,50.35,629.2,0.6999999999999993,300.00000000000006,8.010666873166385e-24,5.502155370759514e-23,0.8204376422275783,0.0011648355254977036,43.67719187945464
density,300.0,0.7,0.2,50.85,635.2,0.6999999999999993,300.00000000000006,1.6007494571577263e-23,1.084157577389302e-22,0.8202270269383858,0.0013275541986426218,44.294622693597354
density,300.0,0.7,0.2,51.35,641.2,0.6999999999999992,300.00000000000006,3.1704927428703963e-23,2.1188787616712067e-22,0.8200008281278076,0.0015103412500470674,44.88914105858029
density,300.0,0.7,0.2,51.9,647.8000000000001,0.6999999999999993,300.00000000000006,6.656788824050885e-23,4.387516574919954e-22,0.8197329766914482,0.0017371308876739887,45.51630170793482
density,300.0,0.7,0.2,52.4,653.8000000000001,0.6999999999999993,300.00000000000006,1.294963601905305e-22,8.434084635090291e-22,0.819471209572345,0.0019692080552649164,46.06177898309598
density,300.0,0.7,0.2,52.9,659.8000000000001,0.6999999999999993,300.00000000000006,2.4983786163804167e-22,1.608967592496746e-21,0.8191911088885367,0.002228564502647902,46.58350166025086
density,300.0,0.7,0.2,53.4,665.8000000000001,0.6999999999999991,300.00000000000006,4.781300373943595e-22,3.046627415745741e-21,0.8188917504151606,0.002517938478642454,47.081240178108686
density,300.0,0.7,0.2,53.9,671.8000000000001,0.6999999999999991,300.00000000000006,9.078163117621927e-22,5.726970844756224e-21,0.8185721962276171,0.002840289643534616,47.55478710208354
density,300.0,0.7,0.2,54.4,677.8000000000001,0.6999999999999991,300.00000000000006,1.7103665404502044e-21,1.0688909454408502e-20,0.8182314977791898,0.0031988112996215582,48.003956804241504
density,300.0,0.7,0.2,54.95,684.4000000000001,0.6999999999999993,300.00000000000006,3.40325939898267e-21,2.106425174806376e-20,0.8178311670397551,0.003639074412830175,48.46969250867135
density,300.0,0.7,0.2,55.45,690.4000000000001,0.6999999999999991,300.00000000000006,6.311961528964814e-21,3.874971243347648e-20,0.8174429506234208,0.004085057382677546,48.86716120229567
density,300.0,0.7,0.2,55.95,696.4000000000001,0.6999999999999991,300.00000000000006,1.1622331816963384e-20,7.081057558794136e-20,0.817030620682105,0.004578727517360387,49.23981342288138
density,300.0,0.7,0.2,56.45,702.4000000000001,0.6999999999999993,300.00000000000006,2.1249517955631276e-20,1.2855757381360814e-19,0.816593224399594,0.005124363882850098,49.5875519637282
density,300.0,0.7,0.2,56.95,708.4000000000001,0.6999999999999993,300.00000000000006,3.8583108753128945e-20,2.3191469613610435e-19,0.8161298192506887,0.005726540625439344,49.910302381926606
density,300.0,0.7,0.2,57.45,714.4000000000001,0.6999999999999993,300.00000000000006,6.958270908882728e-20,4.1576654824524024e-19,0.8156394781215504,0.006390138047595686,50.208014087926955
