smoothing_gate_mode,G0_nm,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,G1_nm,rho1,first_connected_coverage,T_lower_density_C,T_upper_no_growth_C,T_success_min_C,T_success_max_C,window_width_C,n_success
connectivity,50.00000000000001,1250.0,0.88,0.9,0.02,True,229.23048545802487,0.8800071043707542,0.15351186533921557,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.88,0.9,0.05,True,229.23048545802487,0.8800071043707542,0.15351186533921557,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.88,0.9,0.1,True,229.23048545802487,0.8800071043707542,0.15351186533921557,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.88,0.95,0.02,True,229.23048545802487,0.8800071043707542,0.15351186533921557,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.88,0.95,0.05,True,229.23048545802487,0.8800071043707542,0.15351186533921557,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.88,0.95,0.1,True,229.23048545802487,0.8800071043707542,0.15351186533921557,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.88,0.98,0.02,True,229.23048545802487,0.8800071043707542,0.15351186533921557,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.88,0.98,0.05,True,229.23048545802487,0.8800071043707542,0.15351186533921557,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.88,0.98,0.1,True,229.23048545802487,0.8800071043707542,0.15351186533921557,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.75,0.9,0.02,True,100.62975635085272,0.7509368489407744,0.36843905550585876,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.75,0.9,0.05,True,100.62975635085272,0.7509368489407744,0.36843905550585876,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.75,0.9,0.1,True,100.62975635085272,0.7509368489407744,0.36843905550585876,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.75,0.95,0.02,True,100.62975635085272,0.7509368489407744,0.36843905550585876,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.75,0.95,0.05,True,100.62975635085272,0.7509368489407744,0.36843905550585876,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.75,0.95,0.1,True,100.62975635085272,0.7509368489407744,0.36843905550585876,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.75,0.98,0.02,True,100.62975635085272,0.7509368489407744,0.36843905550585876,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.75,0.98,0.05,True,100.62975635085272,0.7509368489407744,0.36843905550585876,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.75,0.98,0.1,True,100.62975635085272,0.7509368489407744,0.36843905550585876,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.8,0.9,0.02,True,125.75344300056805,0.8002924608576535,0.33893737343106567,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.8,0.9,0.05,True,125.75344300056805,0.8002924608576535,0.33893737343106567,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.8,0.9,0.1,True,125.75344300056805,0.8002924608576535,0.33893737343106567,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.8,0.95,0.02,True,125.75344300056805,0.8002924608576535,0.33893737343106567,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.8,0.95,0.05,True,125.75344300056805,0.8002924608576535,0.33893737343106567,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.8,0.95,0.1,True,125.75344300056805,0.8002924608576535,0.33893737343106567,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.8,0.98,0.02,True,125.75344300056805,0.8002924608576535,0.33893737343106567,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.8,0.98,0.05,True,125.75344300056805,0.8002924608576535,0.33893737343106567,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.8,0.98,0.1,True,125.75344300056805,0.8002924608576535,0.33893737343106567,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.85,0.9,0.02,True,166.40141910382096,0.8502448540994274,0.24211796142098055,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.85,0.9,0.05,True,166.40141910382096,0.8502448540994274,0.24211796142098055,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.85,0.9,0.1,True,166.40141910382096,0.8502448540994274,0.24211796142098055,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.85,0.95,0.02,True,166.40141910382096,0.8502448540994274,0.24211796142098055,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.85,0.95,0.05,True,166.40141910382096,0.8502448540994274,0.24211796142098055,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.85,0.95,0.1,True,166.40141910382096,0.8502448540994274,0.24211796142098055,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.85,0.98,0.02,True,166.40141910382096,0.8502448540994274,0.24211796142098055,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.85,0.98,0.05,True,166.40141910382096,0.8502448540994274,0.24211796142098055,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.85,0.98,0.1,True,166.40141910382096,0.8502448540994274,0.24211796142098055,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.88,0.9,0.02,True,242.75203898711737,0.8800454411867773,0.16051610768409125,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.88,0.9,0.05,True,242.75203898711737,0.8800454411867773,0.16051610768409125,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.88,0.9,0.1,True,242.75203898711737,0.8800454411867773,0.16051610768409125,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.88,0.95,0.02,True,242.75203898711737,0.8800454411867773,0.16051610768409125,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.88,0.95,0.05,True,242.75203898711737,0.8800454411867773,0.16051610768409125,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.88,0.95,0.1,True,242.75203898711737,0.8800454411867773,0.16051610768409125,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.88,0.98,0.02,True,242.75203898711737,0.8800454411867773,0.16051610768409125,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.88,0.98,0.05,True,242.75203898711737,0.8800454411867773,0.16051610768409125,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1300.0,0.88,0.98,0.1,True,242.75203898711737,0.8800454411867773,0.16051610768409125,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.75,0.9,0.02,True,108.31362097881242,0.7508399440408795,0.39032082088948866,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.75,0.9,0.05,True,108.31362097881242,0.7508399440408795,0.39032082088948866,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.75,0.9,0.1,True,108.31362097881242,0.7508399440408795,0.39032082088948866,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.75,0.95,0.02,True,108.31362097881242,0.7508399440408795,0.39032082088948866,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.75,0.95,0.05,True,108.31362097881242,0.7508399440408795,0.39032082088948866,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.75,0.95,0.1,True,108.31362097881242,0.7508399440408795,0.39032082088948866,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.75,0.98,0.02,True,108.31362097881242,0.7508399440408795,0.39032082088948866,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.75,0.98,0.05,True,108.31362097881242,0.7508399440408795,0.39032082088948866,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.75,0.98,0.1,True,108.31362097881242,0.7508399440408795,0.39032082088948866,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.8,0.9,0.02,True,135.59141627365824,0.8008399440408793,0.3583358790963097,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.8,0.9,0.05,True,135.59141627365824,0.8008399440408793,0.3583358790963097,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.8,0.9,0.1,True,135.59141627365824,0.8008399440408793,0.3583358790963097,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.8,0.95,0.02,True,135.59141627365824,0.8008399440408793,0.3583358790963097,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.8,0.95,0.05,True,135.59141627365824,0.8008399440408793,0.3583358790963097,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.8,0.95,0.1,True,135.59141627365824,0.8008399440408793,0.3583358790963097,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.8,0.98,0.02,True,135.59141627365824,0.8008399440408793,0.3583358790963097,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.8,0.98,0.05,True,135.59141627365824,0.8008399440408793,0.3583358790963097,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.8,0.98,0.1,True,135.59141627365824,0.8008399440408793,0.3583358790963097,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.85,0.9,0.02,True,177.76180623753413,0.8501099593816278,0.2559480264464672,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.85,0.9,0.05,True,177.76180623753413,0.8501099593816278,0.2559480264464672,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.85,0.9,0.1,True,177.76180623753413,0.8501099593816278,0.2559480264464672,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.85,0.95,0.02,True,177.76180623753413,0.8501099593816278,0.2559480264464672,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.85,0.95,0.05,True,177.76180623753413,0.8501099593816278,0.2559480264464672,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.85,0.95,0.1,True,177.76180623753413,0.8501099593816278,0.2559480264464672,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.85,0.98,0.02,True,177.76180623753413,0.8501099593816278,0.2559480264464672,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.85,0.98,0.05,True,177.76180623753413,0.8501099593816278,0.2559480264464672,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.85,0.98,0.1,True,177.76180623753413,0.8501099593816278,0.2559480264464672,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.88,0.9,0.02,True,258.47391488626835,0.8800470215861266,0.1686431924787998,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.88,0.9,0.05,True,258.47391488626835,0.8800470215861266,0.1686431924787998,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.88,0.9,0.1,True,258.47391488626835,0.8800470215861266,0.1686431924787998,1250.0,1150.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.88,0.95,0.02,True,258.47391488626835,0.8800470215861266,0.1686431924787998,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.88,0.95,0.05,True,258.47391488626835,0.8800470215861266,0.1686431924787998,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.88,0.95,0.1,True,258.47391488626835,0.8800470215861266,0.1686431924787998,nan,1150.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.88,0.98,0.02,True,258.47391488626835,0.8800470215861266,0.1686431924787998,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.88,0.98,0.05,True,258.47391488626835,0.8800470215861266,0.1686431924787998,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1350.0,0.88,0.98,0.1,True,258.47391488626835,0.8800470215861266,0.1686431924787998,nan,1150.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.75,0.9,0.02,True,97.74000069952518,0.7503547671952132,0.3609427998196711,1250.0,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.75,0.9,0.05,True,97.74000069952518,0.7503547671952132,0.3609427998196711,1250.0,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.75,0.9,0.1,True,97.74000069952518,0.7503547671952132,0.3609427998196711,1250.0,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.75,0.95,0.02,True,97.74000069952518,0.7503547671952132,0.3609427998196711,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.75,0.95,0.05,True,97.74000069952518,0.7503547671952132,0.3609427998196711,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.75,0.95,0.1,True,97.74000069952518,0.7503547671952132,0.3609427998196711,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.75,0.98,0.02,True,97.74000069952518,0.7503547671952132,0.3609427998196711,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.75,0.98,0.05,True,97.74000069952518,0.7503547671952132,0.3609427998196711,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.75,0.98,0.1,True,97.74000069952518,0.7503547671952132,0.3609427998196711,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.8,0.9,0.02,True,119.10298991773213,0.8001389404100555,0.32485390349055526,1250.0,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.8,0.9,0.05,True,119.10298991773213,0.8001389404100555,0.32485390349055526,1250.0,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.8,0.9,0.1,True,119.10298991773213,0.8001389404100555,0.32485390349055526,1250.0,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.8,0.95,0.02,True,119.10298991773213,0.8001389404100555,0.32485390349055526,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.8,0.95,0.05,True,119.10298991773213,0.8001389404100555,0.32485390349055526,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.8,0.95,0.1,True,119.10298991773213,0.8001389404100555,0.32485390349055526,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.8,0.98,0.02,True,119.10298991773213,0.8001389404100555,0.32485390349055526,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.8,0.98,0.05,True,119.10298991773213,0.8001389404100555,0.32485390349055526,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.8,0.98,0.1,True,119.10298991773213,0.8001389404100555,0.32485390349055526,nan,1100.0,nan,nan,nan,0
