memory_model,T1_C,T2_C,switch_density,target_density,high_reached,two_step_reached,high_final_density,two_step_final_density,G_high_nm,G_two_step_nm,TS_pct,benefit_positive,high_damage_final,two_step_damage_final,high_redistributed_volume,two_step_redistributed_volume,high_mean_radius_nm,two_step_mean_radius_nm
empirical_topology_damage,1400.0,1200.0,0.88,0.9,True,False,0.9000559555314812,0.8989202976276103,421.4222529849556,nan,nan,False,0.0007887356802932798,0.002842553960372016,0.0,0.0,47.946586247208586,47.788937451329915
empirical_topology_damage,1400.0,1250.0,0.82,0.9,True,True,0.9000559555314812,0.9000068061827274,421.4222529849556,349.9194450940562,16.967022359270622,True,0.0007887356802932798,0.005289882219329513,0.0,0.0,47.946586247208586,47.931870783857256
empirical_topology_damage,1400.0,1250.0,0.85,0.9,True,True,0.9000559555314812,0.9000079640807206,421.4222529849556,349.8430348967403,16.985153864376176,True,0.0007887356802932798,0.0024443206251702296,0.0,0.0,47.946586247208586,47.93446262486984
empirical_topology_damage,1400.0,1250.0,0.88,0.9,True,True,0.9000559555314812,0.9000062040905574,421.4222529849556,354.8316907824905,15.801387262015878,True,0.0007887356802932798,0.0013155283138931576,0.0,0.0,47.946586247208586,47.93825655964734
empirical_topology_damage,1400.0,1300.0,0.82,0.9,True,True,0.9000559555314812,0.900005892847055,421.4222529849556,370.27698658899214,12.136346866758672,True,0.0007887356802932798,0.001809578943272962,0.0,0.0,47.946586247208586,47.93387448993272
empirical_topology_damage,1400.0,1300.0,0.85,0.9,True,True,0.9000559555314812,0.9000117469080408,421.4222529849556,370.480397004416,12.088079264850357,True,0.0007887356802932798,0.0011587233731427734,0.0,0.0,47.946586247208586,47.9360107856523
empirical_topology_damage,1400.0,1300.0,0.88,0.9,True,True,0.9000559555314812,0.9000189474115272,421.4222529849556,373.6480457868383,11.336422521528029,True,0.0007887356802932798,0.0009090971482525092,0.0,0.0,47.946586247208586,47.94025625914266
pore_bin_redistribution,1300.0,1200.0,0.82,0.9,True,False,0.9000042529258799,0.8873991584232355,369.7893193287233,nan,nan,False,0.0,0.0,2.252488276090409e-05,7.436891710591541e-05,47.9341239346276,46.31964240694681
pore_bin_redistribution,1300.0,1200.0,0.85,0.9,True,False,0.9000042529258799,0.8902640747367764,369.7893193287233,nan,nan,False,0.0,0.0,2.252488276090409e-05,2.6509344879236023e-05,47.9341239346276,46.663550089902884
pore_bin_redistribution,1300.0,1200.0,0.88,0.9,True,False,0.9000042529258799,0.8960486450211151,369.7893193287233,nan,nan,False,0.0,0.0,2.252488276090409e-05,2.3144709790019444e-05,47.9341239346276,47.39996227406731
pore_bin_redistribution,1300.0,1250.0,0.82,0.9,True,True,0.9000042529258799,0.9000052541807088,369.7893193287233,348.8043764420813,5.674837479009899,True,0.0,0.0,2.252488276090409e-05,2.5136745571998546e-05,47.9341239346276,47.93256784637604
pore_bin_redistribution,1300.0,1250.0,0.85,0.9,True,True,0.9000042529258799,0.9000049177276108,369.7893193287233,348.88077661247945,5.654177020093233,True,0.0,0.0,2.252488276090409e-05,2.273804673203106e-05,47.9341239346276,47.933334271290725
pore_bin_redistribution,1300.0,1250.0,0.88,0.9,True,True,0.9000042529258799,0.9000066752164461,369.7893193287233,349.89628312531903,5.3795594311690795,True,0.0,0.0,2.252488276090409e-05,2.2562255816814386e-05,47.9341239346276,47.93426050151375
pore_bin_redistribution,1300.0,1300.0,0.82,0.9,True,True,0.9000042529258799,0.9000042529258799,369.7893193287233,369.7893193287233,0.0,False,0.0,0.0,2.252488276090409e-05,2.252488276090409e-05,47.9341239346276,47.9341239346276
pore_bin_redistribution,1300.0,1300.0,0.85,0.9,True,True,0.9000042529258799,0.9000042529258799,369.7893193287233,369.7893193287233,0.0,False,0.0,0.0,2.252488276090409e-05,2.252488276090409e-05,47.9341239346276,47.9341239346276
