case,t_s,T_K,rho,bin,radius_m,phi_open,phi_iso,phi_closed
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,3,1.6082997248964597e-08,0.04931137140167134,5.177034739634991e-12,5.764001712696726e-13
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,4,2.0159250138234185e-08,0.09521924342619575,5.955241700120215e-12,4.2428889536435643e-13
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,5,2.526863369090349e-08,0.11626321979761206,4.50848759021168e-12,2.0488122481663268e-13
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,6,3.167299598084116e-08,0.09555432403212752,2.333793278627784e-12,6.75599735406134e-14
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,7,3.970055075686648e-08,0.054214912765203405,8.392198794477078e-13,1.5468121344341733e-14
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,8,4.976269789419122e-08,0.02145293022853106,2.110011524697773e-13,2.475667440821597e-15
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,9,6.237510700730634e-08,0.005944991234814508,3.7190636942423576e-14,2.7774789692858827e-16
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,10,7.818414472715056e-08,0.0011556875042645176,4.600300745860862e-15,2.18674687063338e-17
CS_thermal,14166.474087014733,1477.2311428534908,0.5468247333767893,11,9.8e-08,0.0001577062926151925,3.995128542423672e-16,1.2087382920325326e-18
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,0,8.166666666666667e-09,6.069394879126852e-06,8.14222236900718e-14,3.0599842359224474e-14
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,1,1.0236517085738568e-08,0.0009033013109757747,8.603138608478008e-13,2.3527746137428315e-13
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,2,1.2830973311830731e-08,0.011546184372550637,3.715281157725002e-12,6.829186676300154e-13
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,3,1.6082997248964597e-08,0.045867894819538374,7.565536467790519e-12,9.025971660468063e-13
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,4,2.0159250138234185e-08,0.09247665072733559,8.94735310656499e-12,6.844648938830262e-13
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,5,2.526863369090349e-08,0.11489702200984925,6.85186311281601e-12,3.345920963629221e-13
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,6,3.167299598084116e-08,0.09509829567757866,3.5634872717611665e-12,1.1088520012792079e-13
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,7,3.970055075686648e-08,0.054110036163953094,1.2838535394466495e-12,2.543917569060474e-14
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,8,4.976269789419122e-08,0.021436125246794085,3.2304262450469315e-13,4.0748819295281824e-15
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,9,6.237510700730634e-08,0.00594310670140654,5.695664966737272e-14,4.573179045135659e-16
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,10,7.818414472715056e-08,0.0011555393520306376,7.046152336942405e-15,3.601011579989026e-17
CS_thermal,14299.329852516234,1488.098957975622,0.5582413540838065,11,9.8e-08,0.00015769812743587805,6.119540554783771e-16,1.9905908119924993e-18
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,0,8.166666666666667e-09,1.3767570557349653e-06,8.246500073322713e-14,3.1185135474819035e-14
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,1,1.0236517085738568e-08,0.0005174321897538389,9.974489309741926e-13,2.8587027547651665e-13
