case,rho,G_um,pore_D90_nm,fine_pore_fraction,R_Z_eff_um
iso_1100C_40h,0.7300000000000001,0.23470249224468315,99.52539578838244,0.13382406401390004,0.109163292979614
iso_1100C_40h,0.7400000000000001,0.24526416774627058,99.52539578838244,0.12159966836147054,0.1145987396836951
iso_1100C_40h,0.7500000000000001,0.25666646724133274,99.52539578838244,0.1095738275715182,0.1205044579943664
iso_1100C_40h,0.7600000000000001,0.26901693555347206,99.52539578838244,0.09780722944302048,0.12694382273019844
iso_1100C_40h,0.7700000000000001,0.28243815976672143,99.52539578838244,0.08636534293951405,0.13399013228887718
iso_1100C_40h,0.7800000000000001,0.29707700154951466,99.52539578838244,0.0753199924219353,0.141732193246564
iso_1100C_40h,0.7900000000000001,0.31310560386117603,99.52539578838244,0.06474828437243886,0.15027537084316311
iso_1500C_1h,0.65,0.21876555857713947,87.98234382236221,0.2395435527998921,0.14338193671861627
iso_1500C_1h,0.66,0.23132814993711923,88.49947324881967,0.2290970904380733,0.14935620394066476
iso_1500C_1h,0.67,0.243890741297099,89.01660267527714,0.21865062807625452,0.15533047116271326
iso_1500C_1h,0.68,0.25645333265707876,89.5337321017346,0.20820416571443576,0.16130473838476175
iso_1500C_1h,0.6900000000000001,0.26901592401705854,90.05086152819207,0.19775770335261697,0.16727900560681028
iso_1500C_1h,0.7000000000000001,0.2815785153770383,90.56799095464955,0.18731124099079818,0.17325327282885875
iso_1500C_1h,0.7100000000000001,0.29414110673701804,91.08512038110702,0.1768647786289794,0.17922754005090727
iso_1500C_1h,0.7200000000000001,0.3067036980969978,91.60224980756448,0.16641831626716064,0.18520180727295577
iso_1500C_1h,0.7300000000000001,0.3192662894569776,92.11937923402195,0.15597185390534185,0.19117607449500426
iso_1500C_1h,0.7400000000000001,0.33182888081695733,92.63650866047942,0.14552539154352306,0.19715034171705276
iso_1500C_1h,0.7500000000000001,0.3443914721769371,93.15363808693688,0.1350789291817043,0.20312460893910128
iso_1500C_1h,0.7600000000000001,0.3569540635369169,93.67076751339435,0.12463246681988552,0.20909887616114975
iso_1500C_1h,0.7700000000000001,0.36951665489689667,94.18789693985181,0.11418600445806674,0.21507314338319827
iso_1500C_1h,0.7800000000000001,0.3820792462568764,94.70502636630928,0.10373954209624796,0.22104741060524677
iso_1500C_1h,0.7900000000000001,0.3946418376168562,95.22215579276674,0.09329307973442919,0.22702167782729527
iso_1500C_1h,0.8000000000000002,0.40720442897683595,95.73928521922421,0.0828466173726104,0.23299594504934376
iso_1500C_1h,0.8100000000000002,0.4197670203368157,96.25641464568167,0.07240015501079163,0.23897021227139228
iso_1500C_1h,0.8200000000000002,0.43232961169679546,96.77354407213916,0.061953692648972845,0.24494447949344075
iso_1500C_1h,0.8300000000000002,0.44489220305677524,97.29067349859662,0.051507230287154065,0.2509187467154893
iso_1500C_1h,0.8400000000000002,0.457454794416755,97.80780292505409,0.04106076792533529,0.2568930139375378
iso_1500C_1h,0.8500000000000002,0.47001738577673474,98.32493235151155,0.030614305563516513,0.26286728115958624
iso_1500C_1h,0.8600000000000002,0.4825799771367145,98.84206177796902,0.020167843201697733,0.26884154838163477
iso_1500C_1h,0.8700000000000002,0.4951425684966943,99.35919120442648,0.009721380839878955,0.2748158156036833
iso_1500C_1h,0.8800000000000002,0.5382597899988741,99.52539578838244,0.005519527081740316,0.30768293738122715
iso_1500C_1h,0.8900000000000002,0.595848257123087,99.52539578838244,0.00427523702169756,0.35328701921814615
iso_1500C_1h,0.9000000000000002,0.6534367242472999,99.52539578838244,0.0030309469616548045,0.3988911010550651
iso_1500C_1h,0.9100000000000003,0.7110251913715128,99.52539578838244,0.0017866569016120487,0.4444951828919841
iso_1500C_1h,0.9200000000000003,0.7686136584957256,99.52539578838244,0.0005423668415692928,0.49009926472890303
iso_1500C_1h,0.9300000000000003,0.8619065157734618,107.78643464884733,7.041439945957079e-05,0.5761660150959036
iso_1500C_1h,0.9400000000000003,0.9746666669891734,120.55168352489314,1.9567691490905213e-05,0.6842944407471754
iso_1500C_1h,0.9500000000000003,1.130472943312554,124.75021401461268,1.115860195091041e-06,0.8445195108327618
iso_1500C_1h,0.9600000000000003,1.352162039296996,124.75021401461268,1.706861369108779e-08,1.0845924056744571
iso_1500C_1h,0.9700000000000003,1.7382575997102085,124.75021401461268,3.826881917032225e-11,1.5147157975366783
rate50_thermal,0.65,0.1634081622905571,79.40110151373295,0.2352647483683513,0.07753812648010693
rate50_thermal,0.66,0.1692932014920324,79.40110151373295,0.22303105342398688,0.08056867627870921
rate50_thermal,0.67,0.17517824069350768,79.40110151373295,0.21079735847962247,0.08359922607731152
rate50_thermal,0.68,0.18136621170545705,79.91333775837656,0.1985195004790444,0.08681217572304567
