case,t_s,rho,G_um,R_Z_eff_m,S_Z,Gamma_growth,P_Z_Pa
CS_thermal,6840.0,0.48403361344661733,0.010200000014837453,4.424498564613274e-08,1.0,1.0,11300715.611006256
CS_thermal,6960.0,0.4840336134479415,0.010200000029000903,4.424498564622708e-08,1.0,1.0,11300715.610982161
CS_thermal,7080.0,0.48403361345059515,0.010200000055843143,4.424498564641921e-08,1.0,1.0,11300715.610933088
CS_thermal,7200.0,0.4840336134558306,0.010200000105986819,4.424498564680424e-08,1.0,1.0,11300715.610834748
CS_thermal,7320.0,0.48403361346600526,0.010200000198365144,4.424498564756379e-08,1.0,1.0,11300715.61064075
CS_thermal,7440.0,0.4840336134854908,0.01020000036627654,4.424498564903976e-08,1.0,1.0,11300715.610263769
CS_thermal,7560.0,0.48403361352228325,0.010200000667533692,4.4244985651866195e-08,1.0,1.0,11300715.609541861
CS_thermal,7680.0,0.48403361359080976,0.01020000120126709,4.4244985657202754e-08,1.0,1.0,11300715.60817884
CS_thermal,7800.0,0.48403361371676057,0.010200002135416037,4.424498566714161e-08,1.0,1.0,11300715.605640333
CS_thermal,7920.0,0.48403361394530264,0.010200003751188323,4.4244985685408124e-08,1.0,1.0,11300715.60097484
CS_thermal,8040.0,0.4840336143548747,0.01020000651416357,4.424498571855185e-08,1.0,1.0,11300715.592509523
CS_thermal,8160.0,0.48403361508007914,0.010200011186784456,4.424498577794653e-08,1.0,1.0,11300715.577339387
CS_thermal,8280.0,0.4840336163492419,0.010200019004473626,4.424498588310921e-08,1.0,1.0,11300715.55047954
CS_thermal,8400.0,0.48403361854535276,0.010200031948582221,4.4244986067145505e-08,1.0,1.0,11300715.5034744
CS_thermal,8520.0,0.4840336223038958,0.01020005316527458,4.424498638558517e-08,1.0,1.0,11300715.422140978
CS_thermal,8640.0,0.4840336286682576,0.010200087602284406,4.42449869305648e-08,1.0,1.0,11300715.28294646
CS_thermal,8760.0,0.48403363933413124,0.010200142967965809,4.424498785335826e-08,1.0,1.0,11300715.047253635
CS_thermal,8880.0,0.48403365703012824,0.010200231162883766,4.424498939980862e-08,1.0,1.0,11300714.652271172
CS_thermal,9000.0,0.48403368610489317,0.0102003703982565,4.4244991965505636e-08,1.0,1.0,11300713.996960627
CS_thermal,9120.0,0.48403373342442413,0.01020058830437949,4.4244996180899115e-08,1.0,1.0,11300712.920297496
CS_thermal,9240.0,0.48403380973120946,0.010200926454247097,4.42450030413812e-08,1.0,1.0,11300711.168046774
CS_thermal,9360.0,0.48403393168489106,0.010201446893973586,4.424501410431547e-08,1.0,1.0,11300708.3424397
CS_thermal,9480.0,0.4840341249000366,0.010202241496388076,4.4245031784861824e-08,1.0,1.0,11300703.82661748
CS_thermal,9600.0,0.4840344284303939,0.010203445255010562,4.424505979634639e-08,1.0,1.0,11300696.672157925
CS_thermal,9720.0,0.4840349013337478,0.010205255034148868,4.424510380031843e-08,1.0,1.0,11300685.433049012
CS_thermal,9840.0,0.4840356322039605,0.010207955812642269,4.42451723582246e-08,1.0,1.0,11300667.922633972
CS_thermal,9960.0,0.4840367528973877,0.010211957132250824,4.424527831323369e-08,1.0,1.0,11300640.860709669
CS_thermal,10080.0,0.4840384581336118,0.010217843315139143,4.4245440780144295e-08,1.0,1.0,11300599.36535611
CS_thermal,10200.0,0.4840409433427111,0.010226442069644586,4.424568798698425e-08,1.0,1.0,11300536.22732875
CS_thermal,10320.0,0.4840445180822387,0.010238917360169896,4.424604826764795e-08,1.0,1.0,11300444.210869618
CS_thermal,10440.0,0.48404962840689136,0.010256893829899263,4.424656650211135e-08,1.0,1.0,11300311.85529709
CS_thermal,10560.0,0.4840568898509249,0.010282621497151225,4.424730736168959e-08,1.0,1.0,11300122.64730288
CS_thermal,10680.0,0.4840671465073184,0.01031919059560467,4.424836009467863e-08,1.0,1.0,11299853.800912514
CS_thermal,10800.0,0.48408154849616747,0.010370806717708686,4.424984709849e-08,1.0,1.0,11299474.07246662
CS_thermal,10920.0,0.4841016525264119,0.010443134852221,4.4251935164449475e-08,1.0,1.0,11298940.896977615
CS_thermal,11040.0,0.48412955090287246,0.010543715930218609,4.425485008298492e-08,1.0,1.0,11298196.673639612
CS_thermal,11203.793720339927,0.4841884024650571,0.010755644620416003,4.4263136635679573e-08,1.0,1.0,11296081.525251888
