candidate_id,rho_target,initial_topology,heating_rate_C_min,peak_T_C,response_class,n_cases,HR_pct_median,PR_difference_median,fine_difference_median
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1300.0,neutral,3,0.0200922632647312,243273.3228510769,0.0030375726229432
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1300.0,unattainable,68,,,
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1350.0,beneficial,8,2.3877018101770737,1333294.121027925,0.0095303586026975
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1350.0,neutral,13,0.0281740018448964,260866.28184995055,0.0027345557460489
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1350.0,unattainable,51,,,
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1400.0,beneficial,9,2.804958290975972,2228021.7748722187,0.0127288479880703
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1400.0,harmful,6,-1.114139633188855,444110.8675635315,0.0034381166120844
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1400.0,neutral,20,-0.09768690825376175,366973.31316958123,0.00233309786692365
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1400.0,unattainable,37,,,
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1450.0,beneficial,3,2.0777478907521014,2323956.331305211,0.0230191431401913
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1450.0,harmful,33,-2.886983524567119,449433.6548154588,0.0033062739964861
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1450.0,neutral,6,-0.0718773426232306,2477717.1612546197,0.0089634908991532
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1450.0,unattainable,30,,,
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1500.0,harmful,48,-8.19542821082033,674936.5302699526,0.0038688809210959
mech_009_PR_attrition_moderate,0.85,baseline,100.0,1500.0,unattainable,24,,,
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,0.2,1300.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,0.2,1350.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,0.2,1400.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,0.2,1450.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,0.2,1500.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,1.0,1300.0,neutral,4,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,1.0,1300.0,unattainable,68,,,
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,1.0,1350.0,neutral,20,0.0,0.0,0.0
