candidate_id,base_mechanism,variant,G0_nm,rho0,initial_topology,heating_rate_C_min,reference_rate_C_min,peak_T_C,hold_time_h,rho_target,comparison_attained,response_class,HR_pct,G_at_target_nm,G_reference_nm,time_to_target_h,connected_fine_pore_fraction,pore_mean_radius_nm,large_pore_fraction,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference,connected_fine_difference,mean_radius_difference_nm
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,20.0,1.0,1500.0,20.0,0.92,True,beneficial,4.768017196131011,548.29937165186,575.7512922744525,9.275227867387777,0.0273225379491668,72.55862223204758,0.0597712182943912,238399.75453096983,2647697.0016902313,2409297.2471592613,0.0060710861416345,-2.4703245913417504
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1500.0,20.0,0.92,True,beneficial,4.964806247837578,547.1663561436048,575.7512922744525,8.47658146324468,0.0276064820186277,72.43580069493692,0.0593839785439865,100822.17351575222,2647697.0016902313,2546874.828174479,0.0063550302110953,-2.5931461284524175
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,100.0,1.0,1500.0,20.0,0.92,True,beneficial,5.444763687266209,544.4029949837271,575.7512922744525,8.152989210385131,0.0280378521721227,72.25927168844095,0.0588876836071224,52727.69394535859,2647697.0016902313,2594969.3077448728,0.0067864003645904,-2.769675134948386
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1350.0,20.0,0.85,True,beneficial,2.725764869462653,86.4674227299045,88.89036507341268,16.482453477860396,0.120647157673969,53.72952982025593,0.0228340614781527,2684126.801034916,4592842.545016741,1908715.7439818252,0.0007379979004197,-0.1903740063101864
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1350.0,20.0,0.85,True,beneficial,3.5130394692328157,85.76761146403855,88.89036507341268,12.613918537908331,0.1188228610533703,53.847197232468766,0.0228437874810098,2155404.706720935,4592842.545016741,2437437.838295806,-0.0010862987201789,-0.0727065940973474
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1350.0,20.0,0.85,True,beneficial,4.150827220934391,85.20067960315751,88.89036507341268,11.66897419891359,0.1186238049421083,53.80407025413155,0.0227092094642893,2040196.6643621295,4592842.545016741,2552645.8806546116,-0.001285354831441,-0.1158335724345605
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,100.0,1.0,1350.0,20.0,0.85,True,beneficial,3.992179131560983,85.34170246898353,88.89036507341268,11.490728118765796,0.1182858746136122,53.85336181750151,0.0227777231422811,2002303.3977138584,4592842.545016741,2590539.1473028827,-0.001623285159937,-0.0665420090646051
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1400.0,8.0,0.85,True,beneficial,3.1993691586463844,111.73541297227698,115.42839339074138,8.940554582844607,0.1249753565737812,53.16170312439777,0.0223365211993413,1867546.9743344388,4314730.617093825,2447183.642759386,0.0026279744903985,-0.3029792358125007
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1400.0,8.0,0.85,True,beneficial,5.782762629664283,108.7534433937197,115.42839339074138,4.942135969257207,0.1234958517325114,53.26805492322123,0.022301348586186,928595.1699228564,4314730.617093825,3386135.4471709686,0.0011484696491287,-0.1966274369890328
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1400.0,8.0,0.85,True,beneficial,7.115276163977509,107.21534442934777,115.42839339074138,4.056991234439073,0.1233217263392223,53.24132198517792,0.0221831427577986,688561.2850012118,4314730.617093825,3626169.332092613,0.0009743442558396,-0.2233603750323496
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,100.0,1.0,1400.0,8.0,0.85,True,beneficial,7.408992568682676,106.87631230227154,115.42839339074138,3.7758629323491864,0.1231162814337379,53.25751656034803,0.0221817072193472,603292.7773894755,4314730.617093825,3711437.839704349,0.0007688993503552,-0.2071657998622385
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1400.0,20.0,0.85,True,beneficial,3.1993691586463844,111.73541297227698,115.42839339074138,8.940554582844607,0.1249753565737812,53.16170312439777,0.0223365211993413,1867546.9743344388,4314730.617093825,2447183.642759386,0.0026279744903985,-0.3029792358125007
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1400.0,20.0,0.85,True,beneficial,5.782762629664283,108.7534433937197,115.42839339074138,4.942135969257207,0.1234958517325114,53.26805492322123,0.022301348586186,928595.1699228564,4314730.617093825,3386135.4471709686,0.0011484696491287,-0.1966274369890328
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1400.0,20.0,0.85,True,beneficial,7.115276163977509,107.21534442934777,115.42839339074138,4.056991234439073,0.1233217263392223,53.24132198517792,0.0221831427577986,688561.2850012118,4314730.617093825,3626169.332092613,0.0009743442558396,-0.2233603750323496
