initial_topology,peak_T_C,hold_h,rho_target,rate,attained,base_mechanism,TJ_constraint_mode,HR_pct,beneficial,C_TJ_pore,C_TJ_constraint,C_TJ_relaxed,C_TJ_pinned,R_TJ_pore_drag,Lambda_TJ,K_TJ,Lambda_over_K_TJ,P_comp_TJ,P_TJ_multihit,P_TJ_pore_drag,P_TJ_assisted_densification
baseline,1450.0,8.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,-1.5725867863260705,False,0.35890941821324596,0.23205452908933769,0.0,0.28712753457059675,0.27603824608028826,2.4985786238910577,1.0,2.4985786238910577,0.917798244762281,30.126411447957786,101.166231216575,85.50223748911294
baseline,1450.0,8.0,0.9,20.0,True,mech_009_q0,pore_pinned_drag,1.2612655517913898,True,0.41506252671979926,0.22924687366401003,0.0,0.33205002137583944,0.19104096669781548,1.5300666237137641,1.0,1.5300666237137641,0.783478758613752,17.69072849087429,15.608879068157163,23.28763091058445
baseline,1450.0,8.0,0.9,100.0,True,mech_009_q0,pore_pinned_drag,0.5459111698570365,False,0.4156950782821288,0.22921524608589355,0.0,0.3325560626257031,0.18995589585749054,1.518568070519708,1.0,1.518568070519708,0.7809747087162682,17.629078081629512,15.289317961912989,22.86279733538208
baseline,1450.0,20.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,-1.7432667898201062,False,0.3596999031901196,0.232015004840494,0.0,0.28775992255209565,0.2761821208618081,2.4974845966078325,1.0,2.4974845966078325,0.9177082645879138,29.746759005471556,99.83412003351197,85.08270333450889
baseline,1450.0,20.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,-1.5725867863260705,False,0.35890941821324596,0.23205452908933769,0.0,0.28712753457059675,0.27603824608028826,2.4985786238910577,1.0,2.4985786238910577,0.917798244762281,30.126411447957786,101.166231216575,85.50223748911294
baseline,1450.0,20.0,0.9,20.0,True,mech_009_q0,pore_pinned_drag,1.2612655517913898,True,0.41506252671979926,0.22924687366401003,0.0,0.33205002137583944,0.19104096669781548,1.5300666237137641,1.0,1.5300666237137641,0.783478758613752,17.69072849087429,15.608879068157163,23.28763091058445
baseline,1450.0,20.0,0.9,100.0,True,mech_009_q0,pore_pinned_drag,0.5459111698570365,False,0.4156950782821288,0.22921524608589355,0.0,0.3325560626257031,0.18995589585749054,1.518568070519708,1.0,1.518568070519708,0.7809747087162682,17.629078081629512,15.289317961912989,22.86279733538208
GBseg_rich,1350.0,8.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,2.098418873328416,True,0.13924114710690183,0.24303794264465486,0.0,0.11139291768552147,0.4522169566568416,0.9994452190752212,1.0,0.9994452190752212,0.6319164097081946,114.37532686520225,140.51825073377836,16.886710074334374
GBseg_rich,1350.0,8.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,2.0727886976774195,True,0.1368787985493678,0.2431560600725316,0.0,0.10950303883949425,0.44442834888970234,0.9988181428306885,1.0,0.9988181428306885,0.6316855208478266,115.70027831465981,139.61026939757727,16.559000688993702
GBseg_rich,1350.0,8.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
