candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,HR_pct,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,50.0,360,0.0039329333700442,47281.60961082451,1028902.3479047735,999087.0805887401
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,100.0,360,0.0313480750651055,34567.84245771205,1028902.3479047735,1012444.8292751226
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,1.0,360,0.0,191656.49376211487,191656.49376211487,0.0
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,5.0,360,-0.8128550193041961,39972.420486363786,191656.49376211487,152107.37880802227
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,20.0,360,-0.9616729097965178,10898.484297025752,191707.4646222521,181608.1315924218
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,50.0,360,-1.0596431330622058,4977.431199574274,191707.4646222521,187538.59391138837
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,100.0,360,-0.9815118199507904,3003.2951017813352,191707.4646222521,189518.21290463215
mech_009_q0_PR_attrition_moderate,0.88,baseline,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.88,baseline,1.0,360,0.0,460776.7320453682,460776.7320453682,0.0
mech_009_q0_PR_attrition_moderate,0.88,baseline,5.0,360,-1.2349079743092888,104276.78624150965,460880.98038969724,361690.60777275264
mech_009_q0_PR_attrition_moderate,0.88,baseline,20.0,360,-1.3882810616084824,31018.946497261917,460880.98038969724,435334.4151005872
mech_009_q0_PR_attrition_moderate,0.88,baseline,50.0,360,-1.4353150315745697,16039.849190306591,460880.98038969724,450314.0499786389
mech_009_q0_PR_attrition_moderate,0.88,baseline,100.0,360,-1.7942936179873288,9366.684531194805,460880.98038969724,455326.3669723029
mech_009_q0_PR_attrition_moderate,0.88,mixed_GBseg_TJ,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.88,mixed_GBseg_TJ,1.0,360,0.0,291745.27882174455,291745.27882174455,0.0
mech_009_q0_PR_attrition_moderate,0.88,mixed_GBseg_TJ,5.0,360,-1.389880201852432,63355.03467913462,291745.27882174455,230936.689882702
mech_009_q0_PR_attrition_moderate,0.88,mixed_GBseg_TJ,20.0,360,-1.7620452994755256,20189.883290098736,291745.27882174455,276254.1268224814
mech_009_q0_PR_attrition_moderate,0.88,mixed_GBseg_TJ,50.0,360,-1.5893801640446,11446.418784514866,292032.94709029776,285399.31638602115
mech_009_q0_PR_attrition_moderate,0.88,mixed_GBseg_TJ,100.0,360,-1.8753819152735391,6203.386790389895,292320.615358851,288453.8879355768
mech_009_q0_PR_attrition_moderate,0.9,GBseg_rich,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.9,GBseg_rich,1.0,360,0.0,1025160.7545514522,1025160.7545514522,0.0
mech_009_q0_PR_attrition_moderate,0.9,GBseg_rich,5.0,360,-0.660325130792738,265411.32694703934,1028810.4881839792,769072.3123385198
mech_009_q0_PR_attrition_moderate,0.9,GBseg_rich,20.0,360,-0.6692691875808654,76470.28971242643,1028810.4881839792,952867.9037644144
mech_009_q0_PR_attrition_moderate,0.9,GBseg_rich,50.0,360,-0.5914077520834408,37020.06543586138,1028810.4881839792,997584.5127966392
mech_009_q0_PR_attrition_moderate,0.9,GBseg_rich,100.0,360,-0.5137327819834143,22955.65881185259,1028810.4881839792,1010900.5494676224
mech_009_q0_PR_attrition_moderate,0.9,TJ_rich,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.9,TJ_rich,1.0,360,0.0,191608.40252340733,191608.40252340733,0.0
mech_009_q0_PR_attrition_moderate,0.9,TJ_rich,5.0,360,-0.280846547600719,39646.190312297746,191717.9918186639,152142.29316443406
mech_009_q0_PR_attrition_moderate,0.9,TJ_rich,20.0,360,-0.109307442376649,10589.621655651314,191717.9918186639,181608.07137586243
mech_009_q0_PR_attrition_moderate,0.9,TJ_rich,50.0,360,-0.4840344402449414,4901.464604584624,191717.9918186639,187538.54700970493
mech_009_q0_PR_attrition_moderate,0.9,TJ_rich,100.0,360,-0.4587698200411501,3004.7002377420827,191717.9918186639,189518.16900404243
mech_009_q0_PR_attrition_moderate,0.9,baseline,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.9,baseline,1.0,360,0.0,459467.05219132215,459467.05219132215,0.0
mech_009_q0_PR_attrition_moderate,0.9,baseline,5.0,360,-0.575529069691546,100930.31020822795,460730.2912145902,361690.755379278
mech_009_q0_PR_attrition_moderate,0.9,baseline,20.0,360,-0.7694321744194227,27453.389373001577,460730.2912145902,435334.49182234437
mech_009_q0_PR_attrition_moderate,0.9,baseline,50.0,360,-0.8350489963863326,12433.740907305284,460730.2912145902,450314.0725897121
mech_009_q0_PR_attrition_moderate,0.9,baseline,100.0,360,-0.8761711880195506,7403.651264160527,460730.2912145902,455326.37088266236
mech_009_q0_PR_attrition_moderate,0.9,mixed_GBseg_TJ,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.9,mixed_GBseg_TJ,1.0,360,0.0,291760.0681010398,291760.0681010398,0.0
mech_009_q0_PR_attrition_moderate,0.9,mixed_GBseg_TJ,5.0,360,-0.8792171970320289,60925.61229253723,291648.854019003,230834.45580850256
mech_009_q0_PR_attrition_moderate,0.9,mixed_GBseg_TJ,20.0,360,-0.8479025241939563,16413.353078135788,291704.4610600214,276186.609246533
mech_009_q0_PR_attrition_moderate,0.9,mixed_GBseg_TJ,50.0,360,-0.9096068083743096,7397.092144542459,291704.4610600214,285328.055625926
mech_009_q0_PR_attrition_moderate,0.9,mixed_GBseg_TJ,100.0,360,-1.0432242145751507,4391.34733529689,291704.4610600214,288381.48218797136
mech_009_q0_PR_attrition_moderate,0.92,GBseg_rich,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.92,GBseg_rich,1.0,360,0.0,1021664.981942958,1021664.981942958,0.0
mech_009_q0_PR_attrition_moderate,0.92,GBseg_rich,5.0,360,-0.2007254380544713,263400.0628464845,1028814.7640948918,774755.3648292003
mech_009_q0_PR_attrition_moderate,0.92,GBseg_rich,20.0,360,-0.3965630813687566,74789.1645946533,1028814.7640948918,960934.5134159906
mech_009_q0_PR_attrition_moderate,0.92,GBseg_rich,50.0,360,-0.2865018972175404,34568.54730476686,1028814.7640948918,1000542.9365962108
mech_009_q0_PR_attrition_moderate,0.92,GBseg_rich,100.0,360,-0.2192692036666674,20919.71731241383,1028814.7640948918,1013941.8662428166
mech_009_q0_PR_attrition_moderate,0.92,TJ_rich,0.2,360,,,,
mech_009_q0_PR_attrition_moderate,0.92,TJ_rich,1.0,360,0.0,191609.93979330943,191609.93979330943,0.0
