candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,HR_pct,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,100.0,81,-1.4176494105733084,2611.24522468509,183484.24586784124,180672.60798845685
mech_009_q0_PR_attrition_moderate,0.85,baseline,1.0,81,0.0,454886.8382799892,454886.8382799892,0.0
mech_009_q0_PR_attrition_moderate,0.85,baseline,20.0,81,-0.8087576398453786,26767.14894258189,454886.8382799892,427640.140814762
mech_009_q0_PR_attrition_moderate,0.85,baseline,100.0,81,-0.9860643251226485,6827.227388386547,454886.8382799892,447523.504738236
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,1.0,81,0.0,282966.92653137754,282966.92653137754,0.0
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,20.0,81,-1.272754265163887,15678.402790684911,282966.92653137754,267050.2110505159
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,100.0,81,-1.5127052753147496,3976.281975252508,282966.92653137754,278915.67918789317
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,1.0,81,0.0,1013071.6638592654,1013071.6638592654,0.0
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,20.0,81,0.410542034875097,72407.6108405345,1013071.6638592654,933122.8660233534
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,100.0,81,0.2987106208659345,19021.376412748188,1013071.6638592654,986274.4699144564
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,1.0,81,0.0,180032.66131812014,180032.66131812014,0.0
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,20.0,81,-0.8802609738068357,9796.36366179959,180032.66131812014,167240.28199179078
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,100.0,81,-0.8868056101333952,2200.967728287205,180032.66131812014,174597.45801429544
mech_009_q0_PR_attrition_moderate,0.88,baseline,1.0,81,0.0,454934.8060503286,454934.8060503286,0.0
