candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,connected_fine_pore_fraction,connected_fine_difference,pore_mean_radius_nm,large_pore_fraction
mech_009_disabled,0.9,TJ_rich,1.0,81,0.9673831086141088,0.0,61.28779364675622,0.0326168913858914
mech_009_disabled,0.9,TJ_rich,20.0,81,0.9707373017708567,5.285763559736979e-06,59.15581245512936,0.0292626982291432
mech_009_disabled,0.9,TJ_rich,100.0,81,0.9707325373535258,4.194117926625829e-05,59.17349067410393,0.029267462646474347
mech_009_disabled,0.9,baseline,1.0,81,0.9668431113950676,0.0,60.67507480181564,0.0331568886049324
mech_009_disabled,0.9,baseline,20.0,81,0.9670767646393351,0.00010327305059275,60.6669720648156,0.03292323536066505
mech_009_disabled,0.9,baseline,100.0,81,0.9669645225975045,3.204621652319606e-05,60.50073053058122,0.0330354774024953
mech_009_disabled,0.9,mixed_GBseg_TJ,1.0,81,0.97106421213264,0.0,58.66548853644215,0.0289357878673599
mech_009_disabled,0.9,mixed_GBseg_TJ,20.0,81,0.9711753532325672,0.0001068267684696,58.63409588671477,0.0288246467674329
mech_009_disabled,0.9,mixed_GBseg_TJ,100.0,81,0.9712157712231755,8.374262151511491e-05,58.58499064615119,0.0287842287768245
mech_009_disabled,0.92,GBseg_rich,1.0,81,0.9627289272531805,0.0,61.83631192107811,0.03727107274681955
mech_009_disabled,0.92,GBseg_rich,20.0,81,0.9628155573909618,-1.37292430131275e-05,61.93940707484953,0.0371844426090382
mech_009_disabled,0.92,GBseg_rich,100.0,81,0.9628645795867288,3.817610024448026e-05,61.868198869920846,0.037135420413271
mech_009_disabled,0.92,TJ_rich,1.0,81,0.9601674445971923,0.0,65.2286119050544,0.03983255540280755
mech_009_disabled,0.92,TJ_rich,20.0,81,0.9602439751538319,5.475313806790894e-07,65.18758219934368,0.0397560248461683
mech_009_disabled,0.92,TJ_rich,100.0,81,0.9553854721537718,-2.0705599621972937e-05,67.63925404125557,0.0446145278462282
mech_009_disabled,0.92,baseline,1.0,81,0.964393639296319,0.0,62.25735603861559,0.0356063607036809
