rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G,case_id,budget_h,reference_rate_C_min
0.8330000000000001,302.1898390453576,315.0768484861692,0.9590988373067426,-4.264540952641794,-0.04176114652428429,LS023,240.0,0.2
0.8340000000000001,302.2897529076091,315.43892757933696,0.9583146735482714,-4.349857891394262,-0.042579085688424514,LS023,240.0,0.2
0.8350000000000001,302.39385822939363,315.8086857494389,0.9575222971204518,-4.436210311476922,-0.04340627138859823,LS023,240.0,0.2
0.8360000000000001,302.50232829646956,316.18633203268683,0.9567217101123693,-4.523602781267248,-0.044242723848927516,LS023,240.0,0.2
0.8370000000000001,302.6153437543763,316.5720822263771,0.9559129207672187,-4.612039263722562,-0.04508845714299306,LS023,240.0,0.2
0.8380000000000001,302.73309292975796,316.9661591371528,0.9550959438504724,-4.701523070917542,-0.0459434787827608,LS023,240.0,0.2
0.8390000000000001,302.8557721660802,317.3687928392604,0.9542708010345218,-4.792056816147293,-0.04680778928730734,LS023,240.0,0.2
0.8400000000000001,302.9835861744105,317.78022094323205,0.9534375213004059,-4.883642363485645,-0.04768138173050644,LS023,240.0,0.2
0.8410000000000001,303.11674839996294,318.20068887544517,0.9525961413572345,-4.976280774686506,-0.04856424126683677,LS023,240.0,0.2
0.8420000000000001,303.25548140514627,318.63045016903084,0.9517467060799485,-5.069972253310654,-0.04945634463442551,LS023,240.0,0.2
0.8430000000000001,303.400017269891,319.06976676662646,0.9508892689660673,-5.1647160859573535,-0.05035765963442883,LS023,240.0,0.2
0.8440000000000001,303.5505980100702,319.51890933548816,0.9500238926120909,-5.260510580476019,-0.05126814458581907,LS023,240.0,0.2
0.8450000000000001,303.70747601487386,319.9781575955052,0.9491506492102513,-5.35735300102869,-0.05218774775461609,LS023,240.0,0.2
0.8460000000000001,303.87091450403915,320.44780066068324,0.9482696210663119,-5.455239499871169,-0.05311640675658629,LS023,240.0,0.2
0.8470000000000001,304.0411880058884,320.9281373946885,0.9473809011391482,-5.554165045715149,-0.05405404793238814,LS023,240.0,0.2
0.8480000000000001,304.21858285717775,321.4194767810761,0.9464845936028508,-5.6541233485311855,-0.055000585694130175,LS023,240.0,0.2
0.8490000000000001,304.40339772581285,321.9221383088527,0.9455808144321148,-5.755106780647574,-0.05595592184227319,LS023,240.0,0.2
0.8500000000000001,304.5959441575473,322.43645237405565,0.9446696920117092,-5.857106293996031,-0.05691994485177536,LS023,240.0,0.2
0.8510000000000001,304.79654714784095,322.96276069806567,0.9437513677708245,-5.96011133335222,-0.05789252912636398,LS023,240.0,0.2
0.8520000000000001,305.00554574012034,323.5014167634016,0.9428259968431343,-6.064109745414483,-0.05887353421977773,LS023,240.0,0.2
0.8530000000000001,305.2232936517562,324.0527862677862,0.9418937487534209,-6.1690876835610915,-0.05986280402280341,LS023,240.0,0.2
0.8540000000000001,305.45015992914733,324.6172475973068,0.9409548081316476,-6.27502950812188,-0.060860165914892565,LS023,240.0,0.2
0.8550000000000001,305.6865296333803,325.19519231954115,0.9400093754553684,-6.381917681998685,-0.061865429879136534,LS023,240.0,0.2
0.8560000000000001,305.9328045580244,325.7870256975566,0.9390576678214195,-6.489732661463116,-0.06287838757932258,LS023,240.0,0.2
0.8570000000000001,306.1894039807096,326.39316722574154,0.9380999197478342,-6.598452781960025,-0.06389881139779512,LS023,240.0,0.2
0.8580000000000001,306.4567654502408,327.0140511884759,0.9371363840069772,-6.708054138740475,-0.06492645343279921,LS023,240.0,0.2
0.8590000000000001,306.73534561110466,327.650127242698,0.9361673324909127,-6.818510462146147,-0.06596104445396454,LS023,240.0,0.2
0.8600000000000001,307.0256210673422,328.3018610254838,0.9351930571100537,-6.929792987366009,-0.06700229281456739,LS023,240.0,0.2
0.8610000000000001,307.32808928788717,328.9697347878112,0.9342138707261837,-7.041870318482799,-0.06804988331917065,LS023,240.0,0.2
0.8620000000000001,307.64326955560097,329.65424805574685,0.9332301081209677,-7.154708286627345,-0.06910347604523039,LS023,240.0,0.2
0.8630000000000001,307.9717039623814,330.35591832035897,0.9322421270011252,-7.268269802056806,-0.07016270511722067,LS023,240.0,0.2
0.8640000000000001,308.3139584528795,331.07528175773473,0.9312503090414618,-7.382514699973897,-0.0712271774318196,LS023,240.0,0.2
0.8650000000000001,308.6706239195253,331.81289398055344,0.9302550609670267,-7.497399579903535,-0.0722964713326588,LS023,240.0,0.2
0.8660000000000001,309.0423173517483,332.56933082275424,0.9292568156756917,-7.612877638445798,-0.07337013523313525,LS023,240.0,0.2
0.8670000000000001,309.4296830424747,333.3451891589237,0.9282560334025185,-7.728898495224888,-0.07444768618574937,LS023,240.0,0.2
0.8680000000000001,309.8333938551991,334.1410877601236,0.9272532029273374,-7.84540801185707,-0.07552860839641576,LS023,240.0,0.2
0.8690000000000001,310.2541525551575,334.9576682689611,0.9262488426030975,-7.962348129864844,-0.07661235192393287,LS023,240.0,0.2
0.8700000000000001,310.6926932083852,335.79559642767776,0.9252435008488888,-8.079656769544865,-0.07769833195141557,LS023,240.0,0.2
0.8710000000000001,311.1497826527127,336.65556309878326,0.9242377573942346,-8.19726764024085,-0.07878592724259217,LS023,240.0,0.2
0.8720000000000001,311.62622204505266,337.53828497734855,0.923232225541364,-8.315109929532733,-0.07987447748854992,LS023,240.0,0.2
0.8730000000000001,312.1228484896535,338.4445056682573,0.9222275535936629,-8.433108087399866,-0.08096328154520042,LS023,240.0,0.2
