case_id,mode,fast_rate_C_min,metric,rho,G_reference,G_fast,ratio,pct
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.856,483.771960064134,309.98604669742997,1.5606249546333044,35.923105866587456
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.857,497.2228146183756,315.0837007955624,1.578065807158307,36.63128651138165
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.858,508.14348871260603,320.2126220303964,1.5868940002757608,36.98381871591763
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.859,521.9977603047382,325.60512433831076,1.6031619937356125,37.62327176495451
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.86,536.08223246779,331.0358432306753,1.6194084218675753,38.249055241619985
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.861,550.3968800969027,336.85665609257615,1.6339201560726786,38.79749899140611
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.862,567.8773020234952,342.724137961447,1.6569515803622084,39.64820626916565
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.863,582.6976508356979,348.8784732373518,1.6702023642463961,40.12701565949435
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.864,600.7899463876525,355.32539158861323,1.6908162507092428,40.85696777633097
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.865,619.2167544066249,361.95589097556876,1.7107519723955,41.546172903150975
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.866,637.9781718773195,368.8957741651685,1.7294266200828656,42.17736743568311
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.867,660.2896962947474,376.0299157258477,1.755949908985819,43.050767286547014
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.868,679.7724756955282,383.4903596286126,1.7725933876247817,43.58548288730965
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.869,702.9232668868401,391.2872537372184,1.7964379370223773,44.33428623437362
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.87,729.9289436987858,399.43163945115964,1.8274189413281008,45.2780105653695
dis_r0.70_G75_T1500,disabled,20.0,G_mean,0.871,754.0346029399748,407.93364852105015,1.8484246290388207,45.899876884890936
dis_r0.70_G75_T1500,disabled,20.0,G50,0.85,284.3693041969533,211.0464062596877,1.3474254749784438,25.784392638413035
dis_r0.70_G75_T1500,disabled,20.0,G50,0.851,290.5069958617523,213.70871982766968,1.3593595810971641,26.43594719854172
dis_r0.70_G75_T1500,disabled,20.0,G50,0.852,296.7451452852943,216.5234650848867,1.3704987825174384,27.033864403504072
dis_r0.70_G75_T1500,disabled,20.0,G50,0.853,303.0887746934969,219.4195066309089,1.3813210108221152,27.605531794174766
dis_r0.70_G75_T1500,disabled,20.0,G50,0.854,309.5370129144582,222.3991752641535,1.3918082769273186,28.151023630374567
dis_r0.70_G75_T1500,disabled,20.0,G50,0.855,317.745925785455,225.3918807488262,1.409748766148089,29.065375050312078
dis_r0.70_G75_T1500,disabled,20.0,G50,0.856,324.43551075098804,228.54387049285538,1.4195765130403284,29.556456392879802
dis_r0.70_G75_T1500,disabled,20.0,G50,0.857,332.9578842350107,231.86032655945584,1.436027841311741,30.363467111713582
dis_r0.70_G75_T1500,disabled,20.0,G50,0.858,339.9005771045219,235.19458329598706,1.4451887978932096,30.80488850606952
