case_id,mode,path,t_s,rho,G_mean,G50,G90,pore_D90,large_pore_fraction,connected_fine_pore_fraction,cumulative_PR_desintering_work,f_defect_large_pore,f_crack_like_pore,defect_D90,defect_connectedness,stored_PR_work,stored_shear_coupled_stress,persistent_eligibility,persistent_growth_factor
dis_r0.65_G150_T1500,disabled,fast,6395.999999999939,0.8077731241461223,2.6535640430875687e-07,2.1678754030074923e-07,4.596318603407873e-07,2.1847129726829564e-07,0.8893255206446635,0.08450352263091486,29295.89854954101,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6494.399999999939,0.8086383650838117,2.670766219696309e-07,2.178672327438924e-07,4.6391417887258496e-07,2.1847129726829564e-07,0.890101442879766,0.08401536555469008,29298.567358539065,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6592.799999999937,0.8094870606999357,2.687972566488451e-07,2.1894795695648234e-07,4.68194455418296e-07,2.1847129726829564e-07,0.8908641817831782,0.08353594645302634,29301.125110210916,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6691.199999999937,0.8103199476865814,2.705184494314845e-07,2.2002975151427011e-07,4.724732411003422e-07,2.1847129726829564e-07,0.8916145522260817,0.0830647812543137,29303.578565184434,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6789.599999999936,0.8111367749681561,2.722404060223951e-07,2.2111274166519227e-07,4.767510634512065e-07,2.1847129726829564e-07,0.8923525579946455,0.08260196026745997,29305.93296751947,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6887.9999999999345,0.8119371951353794,2.739633574802684e-07,2.221970901792242e-07,4.810284266844453e-07,2.1847129726829564e-07,0.8930781745209252,0.08214760967869428,29308.193126010952,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,6986.399999999934,0.8127236091706798,2.7568730340688346e-07,2.2328267626375766e-07,4.853058119793866e-07,2.1847129726829564e-07,0.8937934967386035,0.08170030189357327,29310.366320291683,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7084.799999999933,0.8134966717995853,2.77412353128576e-07,2.24369521965762e-07,4.895836777798318e-07,2.1847129726829564e-07,0.8944991770018488,0.08125962973362486,29312.457572675477,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7183.199999999932,0.8142568130462186,2.791386337662556e-07,2.2545764039866058e-07,4.938626072366358e-07,2.1847129726829564e-07,0.895195713964936,0.08082524249994097,29314.46535065981,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7281.599999999931,0.8150041382561548,2.808663162290098e-07,2.265471112381904e-07,4.981431361922873e-07,2.1847129726829564e-07,0.8958833029553545,0.080397066717975,29316.395366195036,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7379.99999999993,0.8157362482814988,2.825958604580815e-07,2.276384235569294e-07,5.024256080626901e-07,2.1847129726829564e-07,0.896560410885668,0.07997639652293655,29318.253379994952,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7478.399999999929,0.8164571909773153,2.843269885316603e-07,2.2873113278463906e-07,5.06710411519745e-07,2.1847129726829564e-07,0.8972300771869947,0.07956099115963944,29320.04657615206,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7576.799999999928,0.8171675261811032,2.8605976153560407e-07,2.2982522348444503e-07,5.109979137402402e-07,2.1847129726829564e-07,0.8978927651042137,0.07915053633984406,29321.778465941043,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7675.199999999927,0.8178668189438716,2.8779436581888754e-07,2.3092084208045594e-07,5.152884607726138e-07,2.1847129726829564e-07,0.8985482660012397,0.07874524254397575,29323.45145015753,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7773.599999999927,0.818552436377479,2.89531361553257e-07,2.3201860746200132e-07,5.195823779182796e-07,2.1847129726829564e-07,0.8991950431453384,0.07834641854530232,29325.06591566781,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7871.999999999925,0.8192284744753536,2.912704416923425e-07,2.3311782647489843e-07,5.238809025621185e-07,2.1847129726829564e-07,0.8998359078258741,0.07795177971064159,29326.618866602843,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,7970.399999999924,0.8198957147488805,2.930115271362792e-07,2.3421844351190958e-07,5.281838616337577e-07,2.1847129726829564e-07,0.9004713541505367,0.0775610281697363,29328.120939823122,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,8068.799999999924,0.82054998500028,2.947554528131077e-07,2.3532147334634363e-07,5.324913706801637e-07,2.1847129726829564e-07,0.9010989474616139,0.07717624993681405,29329.572710756995,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,8167.1999999999225,0.8211953492480467,2.965016922873579e-07,2.3642619259852665e-07,5.368036910426831e-07,2.1847129726829564e-07,0.9017212992144752,0.07679536204964099,29330.97963798021,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,8265.599999999922,0.8218332343323043,2.9825005746975596e-07,2.3753230562180872e-07,5.411210648615449e-07,2.1847129726829564e-07,0.9023392617059016,0.07641766641345701,29332.34467462604,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,8363.99999999992,0.8224588435512759,3.000017608616904e-07,2.386410561646049e-07,5.454445796500322e-07,2.1847129726829564e-07,0.902950180942805,0.07604539976731649,29333.660932628896,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,8462.39999999992,0.8230762118459175,3.017562389451354e-07,2.397515658322091e-07,5.497749313968405e-07,2.1847129726829564e-07,0.903556456974769,0.07567655044711227,29334.932506578265,,,,,,,,
