case_id,path,t_s,T_C,rho,G_mean,G50,G90,pore_D50,pore_D90,large_pore_fraction,connected_fine_pore_fraction,cumulative_PR_desintering_work,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore,sigma_res_crack_like,rho_dot,G_mean_dot_nm_s
C091,reference,33000.00000003001,575.0000000005002,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7484117106327571,0.16300235475749117,8.865955567310515,5.83869324662632e-14,5.83869324662632e-14,49999740.91582002,99999481.83164003,0.0,0.0
C091,reference,33120.00000003012,577.000000000502,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7485547699880959,0.16293083199429947,9.44841888752929,6.728721992316774e-14,6.728721992316774e-14,49999723.586010695,99999447.17202139,0.0,0.0
C091,reference,33240.00000003023,579.0000000005039,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7486978618566157,0.16285929339451966,10.06617984403034,7.74934237049073e-14,7.74934237049073e-14,49999705.18370347,99999410.36740693,0.0,0.0
C091,reference,33360.00000003034,581.0000000005057,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7488409864256067,0.162787738887818,10.721191928812603,8.91896460723786e-14,8.91896460723786e-14,49999685.64803182,99999371.29606365,0.0,0.0
C091,reference,33480.00000003045,583.0000000005075,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7489841438913755,0.16271616840051945,11.415506053398747,1.0258487484262387e-13,1.0258487484262387e-13,49999664.914998114,99999329.82999623,0.0,0.0
C091,reference,33600.00000003056,585.0000000005093,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7491273344596422,0.1626445818554606,12.15127484388021,1.1791620130312733e-13,1.1791620130312733e-13,49999642.91732983,99999285.83465967,0.0,0.0
C091,reference,33720.00000003067,587.0000000005111,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7492705583459526,0.16257297917183722,12.930757098465284,1.3545243512676148e-13,1.3545243512676148e-13,49999619.58433015,99999239.1686603,0.0,0.0
C091,reference,33840.00000003078,589.000000000513,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7494138157761077,0.16250136026504575,13.756322412528547,1.554981628749338e-13,1.554981628749338e-13,49999594.841722496,99999189.68344499,0.0,0.0
C091,reference,33960.00000003089,591.0000000005148,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7495571069866062,0.1624297250465196,14.630455976269488,1.7839830185799872e-13,1.7839830185799872e-13,49999568.61148901,99999137.22297803,0.0,0.0
C091,reference,34080.000000030996,593.0000000005166,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7497004322251047,0.1623580734235583,15.555763550198343,2.0454320684740347e-13,2.0454320684740347e-13,49999540.81170262,99999081.62340523,0.0,0.0
C091,reference,34200.000000031105,595.0000000005184,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.749843791750897,0.16228640529915161,16.534976623778174,2.3437439345692553e-13,2.3437439345692553e-13,49999511.35635257,99999022.71270514,0.0,0.0
C091,reference,34320.000000031214,597.0000000005202,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7499871858354066,0.1622147205717963,17.570957762663866,2.6839094898926746e-13,2.6839094898926746e-13,49999480.155163206,99998960.31032641,0.0,0.0
C091,reference,34440.00000003132,599.000000000522,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7501306147627005,0.16214301913530682,18.666706150090768,3.0715670924308145e-13,3.0715670924308145e-13,49999447.1134057,99998894.2268114,0.0,0.0
C091,reference,34560.00000003143,601.0000000005239,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7502740788300204,0.16207130087861854,19.82536332807869,3.513082882638855e-13,3.513082882638855e-13,49999412.13170263,99998824.26340526,0.0,0.0
C091,reference,34680.00000003154,603.0000000005257,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7504175783483336,0.161999565685585,21.05021914422988,4.0156405737625414e-13,4.0156405737625414e-13,49999375.10582512,99998750.21165024,0.0,0.0
C091,reference,34800.00000003165,605.0000000005275,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7505611136429013,0.161927813434767,22.34471791001326,4.587341801369321e-13,4.587341801369321e-13,49999335.92648214,99998671.85296428,0.0,0.0
C091,reference,34920.00000003176,607.0000000005293,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7507046850538698,0.16185604399921466,23.712464776540887,5.23731821189238e-13,5.23731821189238e-13,49999294.4791021,99998588.9582042,0.0,0.0
C091,reference,35040.00000003187,609.0000000005311,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7508482929368815,0.16178425724624196,25.1572323339566,5.975856594764779e-13,5.975856594764779e-13,49999250.64360609,99998501.28721218,0.0,0.0
C091,reference,35160.00000003198,611.000000000533,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7509919376637049,0.16171245303719306,26.682967440670737,6.814538499928232e-13,6.814538499928232e-13,49999204.29417279,99998408.58834559,0.0,0.0
