initial_class,rho0,target_density,heating_rate_C_min,slow_reached,current_reached,eligible_target,HR_pct_vs_0p2,current_time_to_target_h,current_G_at_target_nm,current_pore_mean_radius_nm,current_large_pore_fraction,current_removable_fine_pore_fraction,current_f_pore,current_isolated_pore_fraction,current_cumulative_redistributed_pore_volume,current_E_G
baseline_intermediate,0.75,0.85,0.5,True,True,True,-0.7495023024020379,44.472128541637616,180.42737618378504,46.31808406064829,0.07388037456193321,0.35520336716419554,0.3712865900758029,0.05854732332403308,0.07861359301129696,0.14259513158880013
baseline_intermediate,0.75,0.85,1.0,True,True,True,-3.53026636764508,22.985770369552203,185.4073110977265,44.32762590433872,0.06829772647632182,0.40005887690311653,0.39626767646738376,0.058554925943682244,0.04149626645546328,0.1303848324127713
baseline_intermediate,0.75,0.85,5.0,True,True,True,-10.969982806204047,5.152645486527001,198.73073688033273,42.63173489989617,0.06431272477663744,0.44547804209345176,0.43419624586508554,0.0585539761223009,0.008689215421872058,0.14774384370080457
baseline_intermediate,0.75,0.85,10.0,True,True,True,-11.55167041399152,2.896860711791347,199.77245288322374,42.41220477669384,0.0638417518583914,0.45189078168401386,0.43811501243954304,0.05855564098537385,0.00437034626475311,0.15432662158395372
baseline_intermediate,0.75,0.85,20.0,True,True,True,-11.807293495847338,1.768627866963394,200.23023580916637,42.301936731801135,0.06360826889769822,0.4551582471006585,0.4399901521872066,0.05854111258334634,0.002191667033337909,0.1574453746229495
baseline_intermediate,0.75,0.85,50.0,True,True,True,-11.956951784394217,1.0916706355150967,200.49825154829747,42.23576285683281,0.06346966986495493,0.45713628810880597,0.4411043517930243,0.05855452263959292,0.0008782335496147289,0.15929174048870423
baseline_intermediate,0.75,0.88,0.2,True,True,True,0.0,111.57943067059412,263.65183678193927,54.325314944574686,0.11445553290523246,0.24091261665279978,0.36259195418822043,0.2476656571618137,0.1703282098796069,0.04629876412877382
baseline_intermediate,0.75,0.88,0.5,True,True,True,-2.17576198872975,46.53313185648756,269.3882732292285,49.00249122889079,0.08942732252408524,0.31590777104525514,0.4071218887655448,0.24766500343118197,0.07861359309798058,0.04492152205841143
baseline_intermediate,0.75,0.88,1.0,True,True,True,-5.780368407892014,24.11686698235436,278.8918842621095,47.0550378548052,0.08297505211611615,0.35498237038830255,0.43519769325673496,0.24767226840192277,0.04149626646178892,0.049694868719349646
baseline_intermediate,0.75,0.88,5.0,True,True,True,-5.561321583453871,6.012472148322524,278.3143632860658,45.39947763152606,0.0783682276330338,0.39542912757173915,0.4508275185907502,0.24766971635765567,0.00868921542274746,0.05526048314968291
baseline_intermediate,0.75,0.88,10.0,True,True,True,-5.39694862909458,3.7495354244184322,277.8809909727248,45.18488880671968,0.0778235930071716,0.4012295250688127,0.4525433643427834,0.24767474373468965,0.00437034626564285,0.055615698121647766
