state_id,source,T_C,rho,G_nm,sigma_eff_Pa,Gstar_eV,Gstar_kJ_mol,Gstar_zero_stress_eV,Gstar_zero_stress_kJ_mol,r_nuc_sinv,k_nuc_eff_sinv,k_transport_eff_sinv,k_PR_eff_sinv,k_closed_eff_sinv,k_growth_eff_sinv,closed_availability,A_closed,PR_memory,barrier_temperature_extrapolated,Q_closed_eff_kJ_mol,Q_closed_status,Q_nuc_eff_minus_Q_growth_kJ,Q_nuc_eff_minus_Q_PR_kJ,Q_nuc_eff_minus_Q_PR_separate_kJ,Q_nuc_eff_minus_Q_transport_kJ,Q_closed_eff_minus_Q_growth_kJ,Q_PR_minus_Q_closed_eff_kJ,Q_PR_separate_minus_Q_closed_eff_kJ,inside_both_pass_nuc_growth,inside_both_pass_nuc_PR,inside_both_pass_nuc_transport,inside_both_pass_closed_growth,inside_both_pass_PR_closed,inside_OAT_Delta_Q_nuc,inside_OAT_Delta_Q_closed,inside_OAT_Delta_Q_growth,inside_PR_prefactor_threshold,inside_growth_prefactor_threshold
history_5C,existing_history,1232.573945607921,0.7965550866005485,75.40651577489706,229920954.5789644,4.591883791720846,443.04943271583,5.3646516047156325,517.6101918068358,0.0004271678607446,0.0004271678607446,0.376426461172219,7.855652430562055e-07,1.3964574951767657e-07,0.004509895845160104,8.302907185934808e-12,0.0145128719842903,0.1005394039005818,True,,proxy/unidentified,37.811037811829976,63.049432715829994,263.04943271583,63.049432715829994,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1242.8796909680036,0.8107232332819553,80.84599134148206,220792656.04386,4.6036465377713585,444.18436517519575,5.3646516047156325,517.6101918068358,0.0004965629044431,0.0004965629044431,0.38391525795162007,8.461891124005932e-07,1.6028092348559567e-07,0.004889108562567643,1.4705267708533553e-11,0.0170506658516345,0.1092649156135033,True,,proxy/unidentified,38.94597027119573,64.18436517519575,264.18436517519575,64.18436517519575,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1253.7087313255488,0.8238607146286325,87.54462384727356,212976484.6029448,4.613997441232118,445.18307553338343,5.3646516047156325,517.6101918068358,0.0005893187771581,0.0005893187771581,0.3883352403083333,9.334588367360086e-07,1.9109031899289304e-07,0.0052373612894280495,2.6191256624792045e-11,0.0199419927497967,0.1185056742496573,True,,proxy/unidentified,39.94468062938341,65.18307553338343,265.18307553338343,65.18307553338343,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1263.7882235115271,0.8346162906066315,94.79828297470809,207158911.0727067,4.621878247754324,445.9434577680781,5.3646516047156325,517.6101918068358,0.0006988546170651,0.0006988546170651,0.3894338454886398,1.0386700216366356e-06,2.3139731748450716e-07,0.0055066483544032405,4.392309690320324e-11,0.0228421008928224,0.1273495240162065,True,,proxy/unidentified,40.70506286407806,65.94345776807808,265.9434577680781,65.94345776807808,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1274.4581404639152,0.8446567837262856,103.67948596520286,202323878.23001748,4.628548226053339,446.5870128395138,5.3646516047156325,517.6101918068358,0.0008455821427927,0.0008455821427927,0.3876379537659654,1.1793451668698893e-06,2.908590757420498e-07,0.005728681319929767,7.453745495709226e-11,0.0261378636330356,0.137146315842561,True,,proxy/unidentified,41.3486179355138,66.58701283951382,266.5870128395138,66.58701283951382,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1284.5886190368235,0.8531050621097838,113.39272687962725,198799802.2793833,4.633481030226487,447.06295608845926,5.3646516047156325,517.6101918068358,0.0010214572696381,0.0010214572696381,0.3833406401414824,1.3445243057028184e-06,3.692017871055663e-07,0.005877839312997119,1.213696099021748e-10,0.0294914861972721,0.1470235905174421,True,,proxy/unidentified,41.82456118445924,67.06295608845926,267.06295608845926,67.06295608845926,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1295.3606904862254,0.8611240811094207,125.25611497194605,196007094.45536244,4.637434084720455,447.44436786421124,5.3646516047156325,517.6101918068358,0.0012573926940772,0.0012573926940772,0.3762954468492501,1.5577757984893938e-06,4.849176185295084e-07,0.005971877738444898,2.012515035628153e-10,0.0333116166213394,0.1583061475109453,True,,proxy/unidentified,42.20597296021123,67.44436786421124,267.44436786421124,67.44436786421124,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1305.7375863201437,0.8680684593520531,138.36067594106123,194102474.53279245,4.640152860230016,447.70668982221997,5.3646516047156325,517.6101918068358,0.0015442696864435,0.0015442696864435,0.36742291186243164,1.803965255928967e-06,6.402296344063217e-07,0.006003112180670347,3.2426951139400556e-10,0.0372562758970396,0.1700800298069093,True,,proxy/unidentified,42.468294918219954,67.70668982221997,267.70668982221997,67.70668982221997,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1315.8045147883695,0.8741957636474539,152.83626393134597,192885044.46306953,4.641900541499447,447.87531542994674,5.3646516047156325,517.6101918068358,0.0018924210435437,0.0018924210435437,0.35718460490428305,2.085496343367936e-06,8.480622091378488e-07,0.005982540018068094,5.110335483720627e-10,0.0413498231656304,0.1824759698283944,True,,proxy/unidentified,42.63692052594672,67.87531542994674,267.87531542994674,67.87531542994674,,,,True,True,True,False,False,True,False,True,True,True
history_5C,existing_history,1326.5942101350497,0.8802035666565331,170.51458189078878,192179584.63731813,4.642916814524181,447.9733708702662,5.3646516047156325,517.6101918068358,0.0023611159822723,0.0023611159822723,0.3447817365153258,2.4391842656917005e-06,1.1579867641748964e-06,0.005911031574150617,8.259857085085721e-10,0.046051647428611,0.1969508546777048,True,,proxy/unidentified,42.73497596626618,67.9733708702662,267.9733708702662,67.9733708702662,,,,True,True,True,False,False,True,False,True,True,True
