case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class,phi_open_total,phi_iso_total,phi_closed_total,pore_arrays_equal_across_paths
primary_178,0.66,35,60,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_179,0.66,35,60,0.85,0.1,0.0,primary_common_state,0.3059999999999999,0.033999999999999996,0.0,True
primary_180,0.66,50,10,0.45,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_181,0.66,50,10,0.45,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_182,0.66,50,10,0.45,0.1,0.0,primary_common_state,0.306,0.033999999999999996,0.0,True
primary_183,0.66,50,10,0.65,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_184,0.66,50,10,0.65,0.05,0.0,primary_common_state,0.323,0.017,0.0,True
primary_185,0.66,50,10,0.65,0.1,0.0,primary_common_state,0.306,0.034,0.0,True
primary_186,0.66,50,10,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_187,0.66,50,10,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_188,0.66,50,10,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_189,0.66,50,15,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_190,0.66,50,15,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999994,0.0,True
primary_191,0.66,50,15,0.45,0.1,0.0,primary_common_state,0.306,0.03399999999999999,0.0,True
primary_192,0.66,50,15,0.65,0.0,0.0,primary_common_state,0.34,0.0,0.0,True
primary_193,0.66,50,15,0.65,0.05,0.0,primary_common_state,0.32299999999999995,0.017,0.0,True
primary_194,0.66,50,15,0.65,0.1,0.0,primary_common_state,0.306,0.034,0.0,True
primary_195,0.66,50,15,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_196,0.66,50,15,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_197,0.66,50,15,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_198,0.66,50,25,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_199,0.66,50,25,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999994,0.0,True
primary_200,0.66,50,25,0.45,0.1,0.0,primary_common_state,0.306,0.03399999999999999,0.0,True
primary_201,0.66,50,25,0.65,0.0,0.0,primary_common_state,0.3400000000000001,0.0,0.0,True
primary_202,0.66,50,25,0.65,0.05,0.0,primary_common_state,0.32299999999999995,0.017,0.0,True
primary_203,0.66,50,25,0.65,0.1,0.0,primary_common_state,0.306,0.034,0.0,True
primary_204,0.66,50,25,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_205,0.66,50,25,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_206,0.66,50,25,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_207,0.66,50,40,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_208,0.66,50,40,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999998,0.0,True
primary_209,0.66,50,40,0.45,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_210,0.66,50,40,0.65,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_211,0.66,50,40,0.65,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999998,0.0,True
primary_212,0.66,50,40,0.65,0.1,0.0,primary_common_state,0.306,0.033999999999999996,0.0,True
primary_213,0.66,50,40,0.85,0.0,0.0,primary_common_state,0.33999999999999986,0.0,0.0,True
primary_214,0.66,50,40,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_215,0.66,50,40,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_216,0.66,50,60,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_217,0.66,50,60,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999998,0.0,True
primary_218,0.66,50,60,0.45,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_219,0.66,50,60,0.65,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_220,0.66,50,60,0.65,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_221,0.66,50,60,0.65,0.1,0.0,primary_common_state,0.306,0.033999999999999996,0.0,True
primary_222,0.66,50,60,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_223,0.66,50,60,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_224,0.66,50,60,0.85,0.1,0.0,primary_common_state,0.3059999999999999,0.033999999999999996,0.0,True
primary_225,0.66,75,10,0.45,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_226,0.66,75,10,0.45,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_227,0.66,75,10,0.45,0.1,0.0,primary_common_state,0.306,0.033999999999999996,0.0,True
primary_228,0.66,75,10,0.65,0.0,0.0,primary_common_state,0.33999999999999997,0.0,0.0,True
primary_229,0.66,75,10,0.65,0.05,0.0,primary_common_state,0.323,0.017,0.0,True
primary_230,0.66,75,10,0.65,0.1,0.0,primary_common_state,0.306,0.034,0.0,True
primary_231,0.66,75,10,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_232,0.66,75,10,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_233,0.66,75,10,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_234,0.66,75,15,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_235,0.66,75,15,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999994,0.0,True
primary_236,0.66,75,15,0.45,0.1,0.0,primary_common_state,0.306,0.03399999999999999,0.0,True
primary_237,0.66,75,15,0.65,0.0,0.0,primary_common_state,0.34,0.0,0.0,True
primary_238,0.66,75,15,0.65,0.05,0.0,primary_common_state,0.32299999999999995,0.017,0.0,True
primary_239,0.66,75,15,0.65,0.1,0.0,primary_common_state,0.306,0.034,0.0,True
primary_240,0.66,75,15,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_241,0.66,75,15,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
primary_242,0.66,75,15,0.85,0.1,0.0,primary_common_state,0.30599999999999994,0.033999999999999996,0.0,True
primary_243,0.66,75,25,0.45,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_244,0.66,75,25,0.45,0.05,0.0,primary_common_state,0.3229999999999999,0.016999999999999994,0.0,True
primary_245,0.66,75,25,0.45,0.1,0.0,primary_common_state,0.306,0.03399999999999999,0.0,True
primary_246,0.66,75,25,0.65,0.0,0.0,primary_common_state,0.3400000000000001,0.0,0.0,True
primary_247,0.66,75,25,0.65,0.05,0.0,primary_common_state,0.32299999999999995,0.017,0.0,True
primary_248,0.66,75,25,0.65,0.1,0.0,primary_common_state,0.306,0.034,0.0,True
primary_249,0.66,75,25,0.85,0.0,0.0,primary_common_state,0.3399999999999999,0.0,0.0,True
primary_250,0.66,75,25,0.85,0.05,0.0,primary_common_state,0.32299999999999995,0.016999999999999998,0.0,True
