parameter_id,rho,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_act_total
nominal_persistent,0.7029711050047412,26634423.289986495,10658003.39047818,12708613.571516443,46688113.336330436
nominal_persistent,0.703376184810317,26629854.44407834,10636484.935510885,12704290.736901212,46670462.03633497
nominal_persistent,0.7038297982390499,26624707.9843599,10612437.147136046,12699339.82000341,46650560.16955279
nominal_persistent,0.7043367524336235,26618921.550300334,10585611.259689635,12693685.000757301,46628164.94124256
nominal_persistent,0.7049021801762809,26612427.555257447,10555741.253542863,12687243.063825374,46603013.393696815
nominal_persistent,0.7055315379081777,26605152.92270224,10522543.802933473,12679922.88024138,46574821.53186932
nominal_persistent,0.7062305987060906,26597018.814508308,10485718.459596455,12671624.880867448,46543283.51867386
nominal_persistent,0.7070054393614214,26587940.344452657,10444948.117066704,12662240.527598409,46508070.9556818
nominal_persistent,0.7078624206726589,26577826.267191455,10399899.804045575,12651651.78973134,46468832.26476811
nominal_persistent,0.7088081600525612,26566578.629655153,10350225.858110802,12639730.634578764,46425192.1855652
nominal_persistent,0.7098494955729959,26554092.368118096,10295565.532988995,12626338.543222379,46376751.4023181
nominal_persistent,0.7109934406322151,26540254.830228813,10235547.093219904,12611326.064252397,46323086.311816126
nominal_persistent,0.7122471285401442,26524945.19715826,10169790.44887717,12594532.4203764,46263748.94142951
nominal_persistent,0.7136177464858597,26508033.77686393,10097910.379563898,12575785.184863033,46198267.02280103
nominal_persistent,0.715112458585643,26489381.135406107,10019520.39061392,12554900.04685363,46126144.22230475
nominal_persistent,0.7167383180158896,26468837.029395916,9934237.23471267,12531680.68656769,46046860.523815736
nominal_persistent,0.7185021686157895,26446239.09907083,9841686.118418211,12505918.783281617,45959872.752421014
nominal_persistent,0.7204105367988011,26421411.27819419,9741506.594780246,12477394.180607852,45864615.21918705
nominal_persistent,0.7224695151325979,26394161.87390994,9633359.120013313,12445875.234978093,45760500.456703566
nominal_persistent,0.724684639520373,26364281.26673681,9516932.223780267,12411119.374270463,45646920.00257196
nominal_persistent,0.7270607625200276,26331539.177890476,9391950.209204206,12372873.894146157,45523245.173088044
nominal_persistent,0.7296019259410431,26295681.44788278,9258181.260807455,12330877.019796252,45388827.75198804
nominal_persistent,0.7323112364223396,26256426.266675673,9115445.797287013,12284859.260354344,45243000.499395706
nominal_persistent,0.7351907481714214,26213459.791429516,8963624.863145377,12234545.08209808,45085077.364415556
nominal_persistent,0.7382413573839742,26166431.08305128,8802668.311188081,12179654.924615951,44914353.26191252
nominal_persistent,0.7414627130110529,26114946.28745894,8632602.48996668,12119907.581204908,44730103.251068726
nominal_persistent,0.744853148449441,26058561.982113402,8453537.120179404,12055022.960716156,44531580.93193663
nominal_persistent,0.7484096383611487,25996777.603634425,8265671.026002988,11984725.242682446,44318015.85849698
nominal_persistent,0.7521277841585621,25929026.869346935,8069296.385485253,11908746.43061803,44088609.75520407
nominal_persistent,0.756001830723475,25854668.106096856,7864801.182159368,11826830.299633596,43842531.32158053
nominal_persistent,0.7600247156895216,25772973.406064834,7652669.580561913,11738736.723675465,43578909.419400945
nominal_persistent,0.7641881511661851,25683116.544984076,7433480.012294556,11644246.35446651,43296824.46304495
nominal_persistent,0.7684827362043027,25584159.627756935,7207900.845422235,11543165.608233303,42995297.87984035
nominal_persistent,0.7728980967058796,25475038.476153594,6976683.614598075,11435331.897125972,42673279.57848574
nominal_persistent,0.7774230479861456,25354546.851172104,6740653.906076352,11320619.019371023,42329633.46582225
nominal_persistent,0.7820457739246998,25221319.71912531,6500700.112310778,11198942.595056219,41963121.192772165
nominal_persistent,0.7867540157035846,25073815.9384813,6257760.385371643,11070265.40236373,41572384.498747416
nominal_persistent,0.7915352626050475,24910300.979263827,6012808.216928542,10934602.43133593,41155926.77233802
nominal_persistent,0.7963769372757292,24728830.605598174,5766837.146007405,10792025.428195765,40712094.76908411
