parameter_id,rho,P_persistent_junction_drag,P_TJ_multihit,P_clean_GB_discovery
nominal_tj_q0,0.7,0.0,1.0828774511131441e-29,0.0
nominal_tj_q0,0.7,0.0,3.367815066327777e-29,0.0
nominal_tj_q0,0.7,0.0,1.0216740442206272e-28,0.0
nominal_tj_q0,0.7,0.0,3.025681440984203e-28,0.0
nominal_tj_q0,0.7,0.0,8.754214652883815e-28,0.0
nominal_tj_q0,0.7,0.0,2.4763753838917473e-27,0.0
nominal_tj_q0,0.7,0.0,6.853772380249526e-27,0.0
nominal_tj_q0,0.7,0.0,1.8571738997019019e-26,0.0
nominal_tj_q0,0.7,0.0,4.930248111702515e-26,0.0
nominal_tj_q0,0.7,0.0,1.2830700016125999e-25,0.0
nominal_tj_q0,0.7,0.0,3.2753551108896413e-25,0.0
nominal_tj_q0,0.7,0.0,8.206227864936801e-25,0.0
nominal_tj_q0,0.7,0.0,2.0190480503613005e-24,0.0
nominal_tj_q0,0.7,0.0,4.8808895935399e-24,0.0
nominal_tj_q0,0.7,0.0,1.1599063810853607e-23,0.0
nominal_tj_q0,0.7,0.0,2.711017730241904e-23,0.0
nominal_tj_q0,0.7,0.0,6.234949740315283e-23,0.0
nominal_tj_q0,0.7,0.0,1.4116359178371838e-22,0.0
nominal_tj_q0,0.7,0.0,3.147691536947132e-22,0.0
nominal_tj_q0,0.7,0.0,6.915520779774596e-22,0.0
nominal_tj_q0,0.7,0.0,1.4976063931724658e-21,0.0
nominal_tj_q0,0.7,0.0,3.1980183109890652e-21,0.0
nominal_tj_q0,0.7,0.0,6.736571747499449e-21,0.0
nominal_tj_q0,0.7,0.0,1.4003289815875375e-20,0.0
nominal_tj_q0,0.7,0.0,2.873473347587501e-20,0.0
nominal_tj_q0,0.7,0.0,5.82260984398351e-20,0.0
nominal_tj_q0,0.7,0.0,1.1654777075454637e-19,0.0
nominal_tj_q0,0.7,0.0,2.3051726542494674e-19,0.0
nominal_tj_q0,0.7,0.0,4.506598908583904e-19,0.0
nominal_tj_q0,0.7,0.0,8.711011290946185e-19,0.0
nominal_tj_q0,0.7,0.0,1.665276773973032e-18,0.0
nominal_tj_q0,0.7,0.0,3.1493598368515126e-18,0.0
nominal_tj_q0,0.7,0.0,5.893754403666466e-18,0.0
nominal_tj_q0,0.7,0.0,1.0917111858782042e-17,0.0
nominal_tj_q0,0.7,0.0,2.0020637790760293e-17,0.0
nominal_tj_q0,0.7,0.0,3.6358623615033765e-17,0.0
nominal_tj_q0,0.7,0.0,6.540304061128276e-17,0.0
nominal_tj_q0,0.7,0.0,1.1655953478367494e-16,0.0
nominal_tj_q0,0.7,0.0,2.0585068709880332e-16,0.0
nominal_tj_q0,0.7000000000000002,0.0,3.6033280422209866e-16,0.0
nominal_tj_q0,0.7000000000000002,0.0,6.253047171271105e-16,0.0
nominal_tj_q0,0.7000000000000002,0.0,1.07597638759805e-15,0.0
nominal_tj_q0,0.7000000000000002,0.0,1.836204196731342e-15,0.0
nominal_tj_q0,0.7000000000000002,0.0,3.108335815022711e-15,0.0
nominal_tj_q0,0.7000000000000001,0.0,5.220386843403907e-15,0.0
nominal_tj_q0,0.7000000000000002,0.0,8.70005415596929e-15,0.0
nominal_tj_q0,0.7000000000000002,0.0,1.4389979989141844e-14,0.0
nominal_tj_q0,0.7000000000000002,0.0,2.3625970157485294e-14,0.0
nominal_tj_q0,0.7000000000000002,0.0,3.851061863899627e-14,0.0
nominal_tj_q0,0.7000000000000002,0.0,6.233053408440806e-14,0.0
nominal_tj_q0,0.7000000000000002,0.0,1.0018827015408921e-13,0.0
nominal_tj_q0,0.7000000000000002,0.0,1.5995317523629803e-13,0.0
nominal_tj_q0,0.7000000000000002,0.0,2.536829448864793e-13,0.0
