audit_case,t_s,T_C,rho,phi_open,phi_precursor,phi_closed,PR_coarsening_flux,PR_to_precursor_flux,precursor_to_closed_flux,closure_rate
resolved_M0_factor_0p3,2601.44975381069,1159.2117342630268,0.69822891848417,0.3017684430498366,5.939473051526186e-07,2.044518688366565e-06,1.398152704628216e-07,1.913887931301772e-09,6.499371729190179e-09,6.499371729190179e-09
resolved_M0_factor_0p3,2748.747211978167,1173.5255099601159,0.7119922923814632,0.2880029844327925,1.0711630862520399e-06,3.65202265808796e-06,1.593446500930484e-07,3.833447901897935e-09,1.2889102844119018e-08,1.2889102844119018e-08
resolved_M0_factor_0p3,2907.6589814296717,1188.2166354730334,0.7310136631727522,0.26897712867094953,2.0979865524228338e-06,7.110169745771258e-06,1.6663320207857475e-07,8.092836202645882e-09,2.7340787989194783e-08,2.7340787989194783e-08
resolved_M0_factor_0p3,3041.3568085839624,1200.021219963895,0.7502338055459266,0.24974972249274188,3.728992438104576e-06,1.2742968893456225e-05,1.615063540119733e-07,1.4743515049671311e-08,5.159872498614918e-08,5.159872498614918e-08
resolved_M0_factor_0p3,3200.166465769346,1213.2635555709999,0.7739227257644123,0.22604430621196026,7.2197948074685695e-06,2.5748228819959614e-05,1.5031163006215193e-07,2.662671155683188e-08,1.027810327429626e-07,1.027810327429626e-07
resolved_M0_factor_0p3,3334.6815288651396,1224.1305079090562,0.7922242813011412,0.2077190120740043,1.1808018855031061e-05,4.4898605999455263e-05,1.443504815105486e-07,3.8069775584888764e-08,1.6491180317231982e-07,1.6491180317231982e-07
resolved_M0_factor_0p3,3455.909561691629,1234.7961771635905,0.8070612433230804,0.1928505342912811,1.7321126799017455e-05,7.090125883945267e-05,1.4237063738767113e-07,4.908905065540767e-08,2.4043357210573743e-07,2.4043357210573743e-07
resolved_M0_factor_0p3,3593.6662016680066,1246.77128901277,0.8219566450268316,0.1779062780841963,2.5045864610111657e-05,0.0001120310243619514,1.444820962259746e-07,6.009466088511786e-08,3.337865897822319e-07,3.337865897822319e-07
resolved_M0_factor_0p3,3740.4601039191734,1259.4046273451745,0.835686145793945,0.16410941576364707,3.474676225444691e-05,0.00016969168015353744,1.5096751230491273e-07,6.997467164162553e-08,4.3123903274063356e-07,4.3123903274063356e-07
resolved_M0_factor_0p3,3868.359921629521,1270.3311595237128,0.8460838449949869,0.15364099826536848,4.426140421155349e-05,0.0002308953354331051,1.6025911417270194e-07,7.744539007940053e-08,5.090112055585986e-07,5.090112055585986e-07
resolved_M0_factor_0p3,4058.5313177920834,1100.0,0.8514066832754524,0.1481980668001708,5.954067543288046e-05,0.00033570924894386813,6.048696214101184e-10,8.086873577154057e-08,5.604006814757218e-07,5.604006814757218e-07
