growth_mode,G0_nm,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,rho1,G1_nm,T_lower_density_C,T_upper_no_growth_C,T_success_lower_C,T_success_upper_C,window_width_C,n_success_T2,minimum_required_growth_tolerance
baseline,450.0,1250.0,0.75,0.9,0.05,True,0.7509999999999997,450.2752052318119,1200.0,1175.0,nan,nan,nan,0,0.08921586532402534
baseline,450.0,1250.0,0.75,0.9,0.1,True,0.7509999999999997,450.2752052318119,1200.0,1200.0,1200.0,1200.0,0.0,1,0.08921586532402534
baseline,450.0,1250.0,0.8,0.9,0.05,True,0.8003147161894588,450.84123706583784,1200.0,1150.0,nan,nan,nan,0,0.09609682183185829
baseline,450.0,1250.0,0.8,0.9,0.1,True,0.8003147161894588,450.84123706583784,1200.0,1200.0,1200.0,1200.0,0.0,1,0.09609682183185829
baseline,450.0,1250.0,0.85,0.9,0.05,True,0.8501511965623809,452.72240488270415,1175.0,1150.0,nan,nan,nan,0,0.058783941395143695
baseline,450.0,1250.0,0.85,0.9,0.1,True,0.8501511965623809,452.72240488270415,1175.0,1175.0,1175.0,1175.0,0.0,1,0.058783941395143695
baseline,450.0,1300.0,0.75,0.9,0.05,True,0.7509999999999999,450.33159716993146,1200.0,1175.0,nan,nan,nan,0,0.08918877912758194
baseline,450.0,1300.0,0.75,0.9,0.1,True,0.7509999999999999,450.33159716993146,1200.0,1200.0,1200.0,1200.0,0.0,1,0.08918877912758194
baseline,450.0,1300.0,0.8,0.9,0.05,True,0.8009999999999996,450.985384640342,1200.0,1150.0,nan,nan,nan,0,0.09613108022000329
baseline,450.0,1300.0,0.8,0.9,0.1,True,0.8009999999999996,450.985384640342,1200.0,1200.0,1200.0,1200.0,0.0,1,0.09613108022000329
baseline,450.0,1300.0,0.85,0.9,0.05,True,0.8509818138235261,453.0430116059825,1175.0,1150.0,nan,nan,nan,0,0.058834629622535446
baseline,450.0,1300.0,0.85,0.9,0.1,True,0.8509818138235261,453.0430116059825,1175.0,1175.0,1175.0,1175.0,0.0,1,0.058834629622535446
baseline,450.0,1350.0,0.75,0.9,0.05,True,0.7500000000000001,450.4141393446026,1200.0,1175.0,nan,nan,nan,0,0.08902992707481316
baseline,450.0,1350.0,0.75,0.9,0.1,True,0.7500000000000001,450.4141393446026,1200.0,1200.0,1200.0,1200.0,0.0,1,0.08902992707481316
baseline,450.0,1350.0,0.8,0.9,0.05,True,0.8009999999999999,451.20425467915476,1200.0,1150.0,nan,nan,nan,0,0.09607015733611762
baseline,450.0,1350.0,0.8,0.9,0.1,True,0.8009999999999999,451.20425467915476,1200.0,1200.0,1200.0,1200.0,0.0,1,0.09607015733611762
