candidate_id,exact_reconfirmed,tier,rejection_reason,median_reduction,span20,lower_bracketed,upper_bracketed
41233,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
200739,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
181140,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
189676,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
155016,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
19606,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
129236,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
105596,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
234616,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
82630,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
223153,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
237430,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
203560,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
61361,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
136065,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
99462,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
197823,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
20745,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
49639,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
101144,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
2436,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
172091,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
236542,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
181680,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
199272,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
180400,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
80227,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
161138,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
217812,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
25618,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
60706,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
237763,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
131610,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
224377,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
248645,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
31384,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
187974,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
111557,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
113208,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
192685,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
245095,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
174012,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
228659,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
