model_style,G0_nm,T1_heating_rate_C_min,rho_switch,T2_C,first_step_attained,classification_5pct,growth_fraction,rho1,G1_nm,first_time_h,first_mean_radius_nm,first_large_fraction,first_fine_fraction,first_f_pore,first_connected_coverage,first_isolation,first_activity,first_E_G,rho2,G2_nm,second_time_h,second_initial_rho_dot,second_final_rho_dot,second_initial_dGdt_nm_s,second_final_dGdt_nm_s,second_median_E_G,second_mean_radius_nm,second_large_fraction,second_fine_fraction,second_f_pore,second_connected_coverage,second_isolation,second_activity
connectivity,75.0,20.0,0.85,1250.0,True,GRAIN_GROWTH_FAILURE,1.4877525550834785,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.9031190778134257,414.62154334995154,95.95,9.650486958725145e-07,3.735359559783014e-08,0.0009293558861640083,0.0005051933585182672,0.0374397330807484,57.29594189078247,0.10904278798511846,0.3210045614365169,0.43436792042935957,0.10647610633861125,0.5432124520305698,0.6624944181736431
connectivity,75.0,20.0,0.85,1275.0,True,GRAIN_GROWTH_FAILURE,2.089134532563038,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.908615023009262,514.8509343864141,95.95,1.4195594235090905e-06,3.4950785126436635e-08,0.0016158441767396082,0.0006475041811690236,0.03265542965651738,58.25850053505451,0.11458039473575649,0.3093719821856833,0.4807297680437824,0.09939302218020027,0.6174201572406826,0.7227552490103856
connectivity,75.0,20.0,0.85,1300.0,True,GRAIN_GROWTH_FAILURE,2.815849050922559,0.850203794180716,166.6651060221858,9.351968853663962,50.54010435975479,0.07467472266270982,0.4158153524859948,0.33243032597410604,0.24249224150106521,0.05916398408355461,0.6959668623559925,0.12249659384954875,0.9134748043966603,635.9688866366654,95.95,2.029889419612323e-06,3.258588774586501e-08,0.0027618052445484162,0.0008035012669655005,0.029414282722344788,59.169289244046126,0.11998144634639897,0.29879365198471863,0.5292525411145897,0.09350930776806797,0.6788736229416547,0.7742471205449967
connectivity,800.0,0.2,0.85,1000.0,True,DENSIFICATION_EXHAUSTION_FAILURE,2.800024798464537e-06,0.8507287992747005,802.6585111021167,105.53170512222403,60.99229316621844,0.1099309117607195,0.24757466292880162,0.7814670153422761,0.5667890359865349,0.0608085507008303,0.8256889754620659,8.301665618970105,0.8507489152989364,802.6607585658525,95.95,3.94552707151943e-11,7.779359997570893e-11,3.73915500624184e-09,9.607344289663277e-09,7.25212382035625,78.73883829211368,0.2757339275092895,0.14119615639186575,0.6845248055303713,0.4963682030311716,0.06087240668398091,0.22944760986012103
connectivity,800.0,0.2,0.85,1025.0,True,DENSIFICATION_EXHAUSTION_FAILURE,1.2060243039758139e-05,0.8507287992747005,802.6585111021167,105.53170512222403,60.99229316621844,0.1099309117607195,0.24757466292880162,0.7814670153422761,0.5667890359865349,0.0608085507008303,0.8256889754620659,8.301665618970105,0.8508161420556981,802.6681913588385,95.95,1.752183764221794e-10,3.333466116011985e-10,1.6608628836037957e-08,4.0755607358235606e-08,7.306551329319034,77.78032976652261,0.2638323138585505,0.14497352866394916,0.6890882917990868,0.49930775551110906,0.06108626546040485,0.2824288641928619
connectivity,800.0,0.2,0.85,1050.0,True,DENSIFICATION_EXHAUSTION_FAILURE,4.827597634365171e-05,0.8507287992747005,802.6585111021167,105.53170512222403,60.99229316621844,0.1099309117607195,0.24757466292880162,0.7814670153422761,0.5667890359865349,0.0608085507008303,0.8256889754620659,8.301665618970105,0.8510812978984741,802.6972602254107,95.95,7.346326745239647e-10,1.3129689067890004e-09,6.965574812561596e-08,1.5919457706601943e-07,7.362778990259251,76.36118338247945,0.24670164678542605,0.15085799588935675,0.6955561565770443,0.5025186269897335,0.06193663392055369,0.34050958963969985
connectivity,800.0,0.2,0.85,1075.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.00017984561822720406,0.8507287992747005,802.6585111021167,105.53170512222403,60.99229316621844,0.1099309117607195,0.24757466292880162,0.7814670153422761,0.5667890359865349,0.0608085507008303,0.8256889754620659,8.301665618970105,0.8520383407058223,802.8028657182712,95.95,2.9026357209633682e-09,4.672059756877447e-09,2.7534022814075423e-07,5.744850403669942e-07,7.346190195193415,74.4928727484374,0.22511382930813734,0.15918235922744417,0.7028240306729416,0.5023290788179586,0.06509868509079118,0.4017302872504864
connectivity,800.0,0.2,0.85,1100.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.000627731470572815,0.8507287992747005,802.6585111021167,105.53170512222403,60.99229316621844,0.1099309117607195,0.24757466292880162,0.7814670153422761,0.5667890359865349,0.0608085507008303,0.8256889754620659,8.301665618970105,0.8550895643567454,803.1623651096586,95.95,1.0735389476936237e-08,1.4405571933286731e-08,1.0189622572393947e-06,1.9556111071765713e-06,7.030656440041543,72.20830041667416,0.20035402690304924,0.17036787492685815,0.7075188086080615,0.4876273489815577,0.076207738928799,0.46295169611733966
connectivity,800.0,0.2,0.85,1125.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.0021483379454341504,0.8507287992747005,802.6585111021167,105.53170512222403,60.99229316621844,0.1099309117607195,0.24757466292880162,0.7814670153422761,0.5667890359865349,0.0608085507008303,0.8256889754620659,8.301665618970105,0.8632315727244108,804.382892838743,95.95,3.660674189162651e-08,3.7157939392527976e-08,3.4774209683163844e-06,7.09008656421182e-06,5.936139163661279,69.54073000700669,0.17405889743396175,0.18509803679688178,0.7019518100862956,0.43209219348054184,0.11479306151269762,0.519469403919232
connectivity,800.0,0.2,0.85,1150.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.008875879336039387,0.8507287992747005,802.6585111021167,105.53170512222403,60.99229316621844,0.1099309117607195,0.24757466292880162,0.7814670153422761,0.5667890359865349,0.0608085507008303,0.8256889754620659,8.301665618970105,0.8811506189364741,809.7828111947041,95.95,1.1212741889658054e-07,7.38782218361802e-08,1.0663087702117835e-05,3.674645581037277e-05,3.6965226022531983,67.28535225210939,0.1546794452475448,0.19947070776829606,0.6667221336188078,0.292559127286172,0.25976547886120677,0.5626596458171355
