material_id,peak_T_C,hold_h,fast_rate_C_min,attained,max_ratio,median_ratio,span_ge_1p2,span_ge_1p5,span_ge_2p0,integrated_separation,effect_rho_min,effect_rho_max,meaningful,extreme_warning,promotion_blocked,rejection_reason,Q_GB_diffusion,D_GB_prefactor,Q_surface_diffusion,D_surface_prefactor,Q_disconnection_nucleation,v_star,nu0_nucleation,Q_exchange,tau_exchange_prefactor,Q_transport,tau_transport_prefactor,stress_concentration,gamma_s,gamma_GB,zeta_eta_ratio,event_strain,pore_radius0,pore_ln_sigma,G0,rho0,PR_prefactor,PR_partition,activity_form,ablation_mode
E0111,1450,8,20,True,0.9999999924365826,0.9999999740159689,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,625000.0,0.0002,500000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.65,1.5000000000000002e-07,0.7,2e-06,smoothing,serial_fraction,full_material_model
E0112,1450,8,20,True,1.0000000092009311,1.0000000083986296,0.0,0.0,0.0,1.3560110566729178e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,400000.0,0.0002,450000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,1.0000000000000001e-07,0.75,2e-06,balanced,serial_fraction,full_material_model
E0115,1450,8,20,True,0.9999999819738623,0.9999999322997188,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,550000.0,0.0002,500000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,5.0000000000000004e-08,0.65,2e-05,balanced,serial_fraction,full_material_model
E0118,1450,20,20,True,1.0000564446022837,1.0000294899977558,0.0,0.0,0.0,5.366370328011806e-06,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,700000.0,0.0002,550000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,1.5000000000000002e-07,0.7,0.002,isolation,serial_fraction,full_material_model
E0119,1450,8,20,True,1.0,0.9999862389520189,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,475000.0,0.0002,500000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,1.0000000000000001e-07,0.75,0.0002,smoothing,serial_fraction,full_material_model
E0120,1450,8,20,True,1.0000000088640366,1.0000000087850134,0.0,0.0,0.0,1.485654076706748e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,700000.0,0.0002,400000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.65,1.0000000000000001e-07,0.7,0.0002,large_pore_tail,serial_fraction,full_material_model
E0122,1550,20,20,True,1.0335992728424042,1.015278902242615,0.0,0.0,0.0,0.002848380020412015,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,625000.0,0.0002,550000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,5.0000000000000004e-08,0.65,2e-06,smoothing,serial_fraction,full_material_model
E0123,1550,20,20,True,1.0,0.9998290051295894,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,325000.0,0.0002,450000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,3.0000000000000004e-07,0.75,0.002,balanced,serial_fraction,full_material_model
E0124,1450,20,20,True,0.9999996021190274,0.9999996021162113,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,550000.0,0.0002,350000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,2.2500000000000002e-07,0.65,0.002,GB_to_TJ,serial_fraction,full_material_model
E0126,1550,8,20,True,1.0473285225408375,1.0257958907373539,0.0,0.0,0.0,0.004585616281867078,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,550000.0,0.0002,550000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,1.5000000000000002e-07,0.65,2e-05,balanced,serial_fraction,full_material_model
E0127,1450,8,20,True,0.9999999953910705,0.999999984889283,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,450000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.65,1.0000000000000001e-07,0.7,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0128,1450,8,20,True,1.0000000133288018,1.0000000127269084,0.0,0.0,0.0,2.1404014910548666e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,475000.0,0.0002,350000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,3,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,7.500000000000001e-08,0.75,2e-06,large_pore_tail,serial_fraction,full_material_model
E0130,1450,8,20,True,1.0041508313104193,1.003280288488239,0.0,0.0,0.0,0.000499267210577889,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,400000.0,0.0002,500000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.95,3.0000000000000004e-07,0.75,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0131,1450,8,20,True,0.999999999975825,0.9999999979788964,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,625000.0,0.0002,400000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,2.2500000000000002e-07,0.65,2e-05,large_pore_tail,serial_fraction,full_material_model
E0134,1550,8,20,True,1.1841154276712995,1.0787652640411511,0.0,0.0,0.0,0.014697049823790439,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,325000.0,0.0002,500000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,1.0000000000000001e-07,0.7,0.002,balanced,serial_fraction,full_material_model
E0135,1450,8,20,True,0.9999705885574852,0.9999059058073173,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,550000.0,0.0002,400000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,7.500000000000001e-08,0.65,0.0002,isolation,serial_fraction,full_material_model
E0136,1450,8,20,True,0.9999998382441764,0.9999993151726909,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,650000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.65,5.0000000000000004e-08,0.7,0.0002,smoothing,serial_fraction,full_material_model
E0137,1450,20,20,True,1.0000000009696342,1.0000000004515759,0.0,0.0,0.0,7.973188718445293e-11,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,475000.0,0.0002,550000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,3.0000000000000004e-07,0.75,2e-05,balanced,serial_fraction,full_material_model
E0139,1550,20,20,True,1.0001423064843313,1.0000513602928998,0.0,0.0,0.0,1.0731614151305975e-05,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,400000.0,0.0002,350000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,2.2500000000000002e-07,0.75,0.002,large_pore_tail,serial_fraction,full_material_model
E0143,1450,8,20,True,1.0000000170392267,1.0000000163180547,0.0,0.0,0.0,2.77389389369682e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,325000.0,0.0002,350000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.65,5.0000000000000004e-08,0.7,2e-06,isolation,serial_fraction,full_material_model
E0146,1450,8,20,True,1.0,0.9844145137069791,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,475000.0,0.0002,400000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.95,2.2500000000000002e-07,0.75,0.0002,isolation,serial_fraction,full_material_model
E0147,1450,8,20,True,1.0000000006529546,0.999999991529315,0.0,0.0,0.0,3.677518289075982e-12,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,250000.0,0.0002,350000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,1.5000000000000002e-07,0.7,2e-05,smoothing,serial_fraction,full_material_model
E0149,1450,8,20,True,0.9999993819902084,0.9999988949891572,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,700000.0,0.0002,500000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.35,7.500000000000001e-08,0.65,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0153,1450,8,20,True,1.0000000007228926,0.999999999328828,0.0,0.0,0.0,1.923383041247532e-11,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,550000.0,0.0002,450000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,2.2500000000000002e-07,0.65,2e-05,large_pore_tail,serial_fraction,full_material_model
E0154,1450,8,20,True,1.000000003881882,1.0000000037720562,0.0,0.0,0.0,6.401967623957259e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,325000.0,0.0002,400000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.5000000000000002e-07,0.7,2e-06,isolation,serial_fraction,full_material_model
E0156,1550,8,20,True,1.0016642414947927,0.9991832244464823,0.0,0.0,0.0,2.6202566715266746e-05,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,250000.0,0.0002,550000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,1.0000000000000001e-07,0.7,0.002,large_pore_tail,serial_fraction,full_material_model
E0157,1450,8,20,True,1.0000000127226494,0.9999991641904503,0.0,0.0,0.0,3.7191718415967326e-11,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,475000.0,0.0002,450000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,7.500000000000001e-08,0.75,0.0002,isolation,serial_fraction,full_material_model
E0158,1450,8,20,True,1.0000000287067101,1.0000000279934844,0.0,0.0,0.0,4.755883850255431e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,700000.0,0.0002,350000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,5.0000000000000004e-08,0.65,2e-05,smoothing,serial_fraction,full_material_model
E0160,1450,8,20,True,0.9999998019968991,0.9999998018999197,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,625000.0,0.0002,500000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,2.2500000000000002e-07,0.65,2e-06,isolation,serial_fraction,full_material_model
E0161,1550,20,20,True,0.9999910841532047,0.9999910750019095,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,400000.0,0.0002,450000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.5000000000000002e-07,0.7,0.002,smoothing,serial_fraction,full_material_model
E0162,1450,8,20,True,1.0000000039402943,1.0000000039156507,0.0,0.0,0.0,6.631103817544795e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,625000.0,0.0002,350000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,3,1.0,0.35,1,0.004,3.5e-08,0.35,1.5000000000000002e-07,0.65,0.0002,balanced,serial_fraction,full_material_model
E0164,1450,8,20,True,1.0424379104883637,1.0343094842269884,0.0,0.0,0.0,0.005456565091166857,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,550000.0,0.0002,500000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,7.500000000000001e-08,0.75,2e-05,large_pore_tail,serial_fraction,full_material_model
E0165,1450,8,20,True,1.000000025599405,1.0000000255767205,0.0,0.0,0.0,4.339223616332249e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,250000.0,0.0002,400000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.65,5.0000000000000004e-08,0.7,2e-06,balanced,serial_fraction,full_material_model
E0167,1550,20,20,True,1.0583900707893725,1.026547018836209,0.0,0.0,0.0,0.004913660567012983,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,700000.0,0.0002,550000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,2.2500000000000002e-07,0.65,0.0002,large_pore_tail,serial_fraction,full_material_model
E0168,1450,8,20,True,1.000051789519164,0.9999479514767396,0.0,0.0,0.0,2.493778099031299e-06,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,475000.0,0.0002,500000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.95,2.2500000000000002e-07,0.75,0.0002,isolation,serial_fraction,full_material_model
E0169,1450,8,20,True,0.9999999996557147,0.9999999941452589,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,700000.0,0.0002,400000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,1.5000000000000002e-07,0.65,2e-05,smoothing,serial_fraction,full_material_model
E0172,1450,20,20,True,1.0000014637315642,0.9999998511275067,0.0,0.0,0.0,3.5456468541697786e-08,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,325000.0,0.0002,450000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,5.0000000000000004e-08,0.7,0.002,smoothing,serial_fraction,full_material_model
E0173,1450,8,20,True,1.0,0.9999956221015449,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,550000.0,0.0002,350000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,3.0000000000000004e-07,0.75,0.0002,balanced,serial_fraction,full_material_model
E0177,1550,20,20,True,1.0,0.9986086229438066,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,475000.0,0.0002,350000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,1.0000000000000001e-07,0.75,0.002,GB_to_TJ,serial_fraction,full_material_model
E0179,1450,8,20,True,1.000000026089815,1.0000000257063544,0.0,0.0,0.0,4.3731715906692875e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,400000.0,0.0002,500000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,5.0000000000000004e-08,0.7,2e-05,isolation,serial_fraction,full_material_model
E0180,1450,8,20,True,0.9999485707774804,0.9998764364085396,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,625000.0,0.0002,400000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,5.0000000000000004e-08,0.65,2e-05,GB_to_TJ,serial_fraction,full_material_model
E0184,1450,8,20,True,1.0,0.9461878102945375,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,550000.0,0.0002,400000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.95,1.0000000000000001e-07,0.75,0.0002,balanced,serial_fraction,full_material_model
E0186,1550,8,20,True,1.0,0.999991509847952,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,475000.0,0.0002,550000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,7.500000000000001e-08,0.75,2e-06,smoothing,serial_fraction,full_material_model
E0187,1550,20,20,True,0.9999992707650425,0.9999992707096811,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,700000.0,0.0002,450000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,5.0000000000000004e-08,0.65,0.002,balanced,serial_fraction,full_material_model
E0188,1550,8,20,True,1.1765237364210126,1.0748376953669196,0.0,0.0,0.0,0.013903578357088206,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,400000.0,0.0002,350000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,3.0000000000000004e-07,0.7,0.002,GB_to_TJ,serial_fraction,full_material_model
E0190,1550,8,20,True,0.9999983181447923,0.9999978351622821,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,400000.0,0.0002,550000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,30,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.5000000000000002e-07,0.7,2e-05,balanced,serial_fraction,full_material_model
E0191,1450,8,20,True,1.000000009186057,1.000000009098526,0.0,0.0,0.0,1.5281641404423212e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,625000.0,0.0002,450000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.95,1.0000000000000001e-07,0.75,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0192,1450,8,20,True,0.9999848985289889,0.9999454665571341,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,325000.0,0.0002,350000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.0000000000000001e-07,0.7,2e-06,large_pore_tail,serial_fraction,full_material_model
E0195,1450,8,20,True,1.0000000007145569,1.000000000681081,0.0,0.0,0.0,1.1478483692977563e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,475000.0,0.0002,400000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,3.0000000000000004e-07,0.75,2e-05,large_pore_tail,serial_fraction,full_material_model
E0196,1450,8,20,True,0.9999770240107311,0.9999457844223775,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,250000.0,0.0002,350000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,2.2500000000000002e-07,0.65,2e-05,isolation,serial_fraction,full_material_model
E0198,1450,20,20,True,0.9999077755557233,0.9999067123588206,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,700000.0,0.0002,500000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,1.5000000000000002e-07,0.65,0.002,balanced,serial_fraction,full_material_model
E0199,1450,8,20,True,0.9999999708861499,0.9999997301623385,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,400000.0,0.0002,400000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.0000000000000001e-07,0.7,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0201,1450,8,20,True,1.0110712597042564,1.0104823397916818,0.0,0.0,0.0,0.0017612623407182268,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,325000.0,0.0002,550000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,5.0000000000000004e-08,0.7,2e-05,balanced,serial_fraction,full_material_model
E0202,1450,8,20,True,1.0,0.9999983492888929,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,550000.0,0.0002,450000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,3.0000000000000004e-07,0.75,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0203,1550,20,20,True,0.9999960173690305,0.999996016379975,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,325000.0,0.0002,400000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,3,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,2.2500000000000002e-07,0.65,0.002,large_pore_tail,serial_fraction,full_material_model
E0204,1550,20,20,True,1.0,0.9999999941987455,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,550000.0,0.0002,650000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,2.2500000000000002e-07,0.75,0.002,isolation,serial_fraction,full_material_model
E0206,1450,8,20,True,0.9999986225325227,0.9999954370095004,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,475000.0,0.0002,450000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,30,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.65,1.0000000000000001e-07,0.7,2e-05,large_pore_tail,serial_fraction,full_material_model
E0207,1450,8,20,True,1.000000012273811,1.000000011976149,0.0,0.0,0.0,2.034819285766297e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,700000.0,0.0002,350000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.35,7.500000000000001e-08,0.65,2e-06,isolation,serial_fraction,full_material_model
E0210,1450,8,20,True,0.9999996762855556,0.9999984866236694,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,400000.0,0.0002,450000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.65,3.0000000000000004e-07,0.7,0.0002,isolation,serial_fraction,full_material_model
E0211,1450,8,20,True,1.0000000012597254,1.0000000011892627,0.0,0.0,0.0,2.0000615829461243e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,625000.0,0.0002,350000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,2.2500000000000002e-07,0.75,2e-05,smoothing,serial_fraction,full_material_model
E0214,1450,20,20,True,1.0000048871411606,1.000002419682385,0.0,0.0,0.0,4.4244529685017203e-07,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,250000.0,0.0002,400000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,1,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,7.500000000000001e-08,0.65,0.002,large_pore_tail,serial_fraction,full_material_model
E0216,1450,20,20,True,1.000000015598228,1.0000000155922009,0.0,0.0,0.0,2.6507881504101926e-09,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,700000.0,0.0002,550000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,1,0.004,3.5e-08,0.35,5.0000000000000004e-08,0.65,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0218,1450,8,20,True,1.0,0.9999918962172262,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,700000.0,0.0002,400000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,60,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.95,2.2500000000000002e-07,0.75,2e-06,isolation,serial_fraction,full_material_model
E0220,1550,8,20,True,1.0000000072748996,0.9999998178300027,0.0,0.0,0.0,1.1019499723652486e-11,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,625000.0,0.0002,550000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,1.0000000000000001e-07,0.75,0.002,large_pore_tail,serial_fraction,full_material_model
E0222,1450,8,20,True,1.0000000089402454,0.9999996018327694,0.0,0.0,0.0,4.1143880609655095e-11,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,550000.0,0.0002,350000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,30,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,7.500000000000001e-08,0.75,2e-05,smoothing,serial_fraction,full_material_model
E0224,1550,20,20,True,0.9999997056239713,0.9999997056193469,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,550000.0,0.0002,550000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,3.0000000000000004e-07,0.7,2e-06,GB_to_TJ,serial_fraction,full_material_model
E0226,1450,8,20,True,0.9998751642119661,0.9994001649634813,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,475000.0,0.0002,350000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,10,1.0,0.35,1,0.004,3.5e-08,0.65,1.5000000000000002e-07,0.7,0.0002,balanced,serial_fraction,full_material_model
