material_id,ablation_mode,path,t_h,T_C,rho,G_nm,tau_nuc,tau_exchange,tau_transport,activity,rho_dot,G_dot,cumulative_growth_before_activation_nm,cumulative_growth_during_densification_nm,PR_exposure,pore_D50_nm,pore_D90_nm,connected_fine
E0142,transport_only,fast,0.3334475862096413,1025.342758628924,0.8870753647893009,75.00031853109363,19337.965464295714,1.433788126317951,0.0034091105576638356,421.5754263658978,0.28438042631737065,7.777025565621032e-13,0.0,0.00031853109361726806,295.3202432705686,31.729490546762992,53.888774341229976,0.4847421568757454
E0142,transport_only,fast,0.3334495555825882,1025.3486667477646,0.8890753647893009,75.00032404510944,19199.41811339168,1.4336400919204488,0.0034085938753887013,421.5957483735028,0.2783219588738562,7.778172216119069e-13,0.0,0.0003240451094252231,295.3202432705702,31.729490546762992,53.888774341229976,0.47434326220180606
E0142,transport_only,fast,0.33345156815764293,1025.354704472929,0.8910753647893009,75.00032968092377,19058.078917983363,1.433488827276595,0.0034080659445021714,421.6165169981739,0.2722719046428032,7.779344184465747e-13,0.0,0.0003296809237667282,295.3202432705718,31.729490546762992,53.888774341229976,0.4639603029289401
E0142,transport_only,fast,0.33345362580772864,1025.3608774231861,0.8930753647893009,75.00033544383723,18913.861426527856,1.4333341927588512,0.0034075262794017094,421.6377516215414,0.2662306080914325,7.780542572226287e-13,0.0,0.0003354438372151488,295.32024327057337,31.729490546762992,53.888774341229976,0.45359389672632683
E0142,transport_only,fast,0.33345573052731753,1025.3671915819527,0.8950753647893009,75.0003413394953,18766.675581413256,1.4331760396979727,0.003406974363068944,421.6594728840261,0.26019843278120225,7.781768552648076e-13,0.0,0.0003413394952847829,295.32024327057496,31.729490546762992,53.888774341229976,0.44324469489813695
E0142,transport_only,fast,0.3334578844429946,1025.373653328984,0.8970753647893009,75.00034737391853,18616.427518411612,1.4330142095986798,0.003406409644346668,421.68170279429927,0.25417576264291464,7.783023376904354e-13,0.0,0.000347373918513766,295.32024327057655,31.729490546762992,53.888774341229976,0.432913384612997
E0142,transport_only,fast,0.33346008982517966,1025.380269475539,0.899075364789301,75.00035355353589,18463.019350388127,1.4328485332694008,0.0034058315349177718,421.70446485075325,0.2481630033494813,7.784308381024184e-13,0.0,0.0003535535358821679,295.3202432705782,31.729490546762992,53.888774341229976,0.42260069130378397
E0142,transport_only,fast,0.33346234910116157,1025.387047303485,0.901075364789301,75.00035988522177,18306.348933523514,1.4326788298547808,0.0034052394059466756,421.72778417659833,0.2421605837949872,7.785624993599272e-13,0.0,0.00035988522176380453,295.32024327058,31.729490546762992,53.888774341229976,0.41230738125287114
E0142,transport_only,fast,0.33346466486962567,1025.393994608877,0.903075364789301,75.00036637633747,18146.309614043195,1.4325049057575572,0.003404632584337139,421.7516876704207,0.2361689576896956,7.786974744375724e-13,0.0,0.00036637633745732284,295.32024327058184,31.729490546762992,53.888774341229976,0.40203426437963835
E0142,transport_only,fast,0.3334670399168782,1025.4011197506347,0.905075364789301,75.00037303477723,17982.789953182233,1.4323265534345755,0.003404010348553535,421.77620417435384,0.2301886052817157,7.788359273852e-13,0.0,0.000373034777217147,295.32024327058366,31.729490546762992,53.888774341229976,0.39178219724903257
