mode,state_kind,T2_C,hold_h,initial_rho,initial_G_nm,closed_fraction_at_switch,A_closed_at_switch,PR_memory_at_switch,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,PR_topology_transfer,closed_inventory_formed,final_A_closed,classification,strict_success,candidate_state_injected,diagnostic_only
reduced_candidate_law_transfer,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9807219167225978,0.14331840027489942,0.002946047826364109,0.0968492541453517,5.203249708669251e-06,0.00943014854524714,0.9960458633205711,SUCCESS,True,True,True
reduced_candidate_law_transfer,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9853020273843576,0.16384534469402043,0.00454257900670612,0.09953184188504509,1.02608649875813e-05,0.009357197581187289,0.9961872383448437,SUCCESS,True,True,True
reduced_candidate_law_transfer,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9897928547842579,0.197053980191525,0.006827881236693892,0.10160461469066752,1.9274853849375555e-05,0.009275978244218372,0.9966246290833765,SUCCESS,True,True,True
reduced_candidate_law_transfer,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9940602037458041,0.24945877979702638,0.009510478035865083,0.10405520470234544,3.40234513242922e-05,0.009243254127791515,0.9973415926812752,SUCCESS,True,True,True
reduced_candidate_law_transfer,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9973999983382881,0.33093133168505506,0.012483426182178198,0.10495256252562656,5.575504302471966e-05,0.009233408705516283,0.9982734074079854,GRAIN_GROWTH_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9993401562537289,0.4591856575551753,0.015808895429803873,0.1040464130895586,8.68779957796497e-05,0.009233273755704157,0.999217890718327,GRAIN_GROWTH_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,1275,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999504748216623,0.6873805908244842,0.019577701651275082,0.10189385699127816,0.00013035146585631724,0.009236837004495521,0.9998508146543067,GRAIN_GROWTH_FAILURE,False,True,True
reduced_candidate_law_transfer,candidate_like_injected,1300,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999850162508372,1.602799916125036,0.024303166899813534,0.09922111292829722,0.00019133268752673588,0.009241438338880076,0.9999582867637554,GRAIN_GROWTH_FAILURE,False,True,True
mechanistic_GB_diffusion,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669225965224,0.11715243272741367,1.1099598156646811e-06,0.12,6.485257324092231e-10,0.007740630073563515,0.9949802335363185,SUCCESS,True,True,True
mechanistic_GB_diffusion,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9999669421669554,0.11736860654938921,2.828502946938609e-06,0.12,2.1467592197477393e-09,0.0077097637745455385,0.9949912115731211,SUCCESS,True,True,True
